   ,??,??,????,????,???,???,???,???,???,??1,??2,???,????,???
1,p1401,20140102,5828,5798,5840,5878,5452,5876,5858,78,60,2212,129596240,14788
11,p1402,20140102,5960,5960,0,0,0,6020,6020,60,60,0,0,10
42,p1403,20140102,6004,6004,0,0,0,6038,6038,34,34,0,0,8
89,p1404,20140102,6082,6082,0,0,0,6082,6082,0,0,0,0,12
157,p1405,20140102,6038,6038,6080,6150,6068,6148,6116,110,78,629522,38513776120,447612
246,p1406,20140102,6068,6068,6308,6308,6110,6170,6160,102,92,44,2710400,8
355,p1407,20140102,6082,6082,0,0,0,6126,6126,44,44,0,0,0
484,p1408,20140102,6096,6096,0,0,0,6136,6136,40,40,0,0,6
636,p1409,20140102,6112,6114,6146,6206,6142,6204,6180,90,66,103098,6373125120,128376
809,p1410,20140102,6116,6116,6208,6238,6208,6238,6222,122,106,6,373320,14
1003,p1411,20140102,6122,6122,0,0,0,6166,6166,44,44,0,0,0
1215,p1412,20140102,6166,6166,0,0,0,6176,6176,10,10,0,0,2
2,p1401,20140103,5876,5858,5840,5840,5750,5780,5786,-78,-72,3140,181728200,11678
12,p1402,20140103,6020,6020,5980,5980,5980,5980,5980,-40,-40,2,119600,12
43,p1403,20140103,6038,6038,0,0,0,6038,6038,0,0,0,0,8
90,p1404,20140103,6082,6082,6064,6064,6064,6064,6064,-18,-18,2,121280,12
158,p1405,20140103,6148,6116,6110,6118,6036,6068,6078,-48,-38,529516,32186195120,431040
247,p1406,20140103,6170,6160,6102,6176,6060,6060,6120,-100,-40,326,19956080,50
356,p1407,20140103,6126,6126,0,0,0,6126,6126,0,0,0,0,0
485,p1408,20140103,6136,6136,0,0,0,6136,6136,0,0,0,0,6
637,p1409,20140103,6204,6180,6170,6174,6104,6128,6140,-52,-40,96942,5952313680,120472
810,p1410,20140103,6238,6222,6200,6200,6200,6200,6200,-22,-22,2,124000,14
1004,p1411,20140103,6166,6166,0,0,0,6166,6166,0,0,0,0,0
1216,p1412,20140103,6176,6176,0,0,0,6164,6164,-12,-12,0,0,2
3,p1401,20140106,5780,5786,5780,5780,5780,5780,5780,-6,-6,100,5780000,11578
13,p1402,20140106,5980,5980,0,0,0,5980,5980,0,0,0,0,12
44,p1403,20140106,6038,6038,5938,5938,5938,5938,5938,-100,-100,4,237520,10
91,p1404,20140106,6064,6064,5978,6044,5978,6044,6010,-20,-54,4,240440,12
159,p1405,20140106,6068,6078,6054,6062,5958,5976,6000,-102,-78,611684,36705993880,435642
248,p1406,20140106,6060,6120,6050,6050,6000,6000,6040,-120,-80,52,3140800,2
357,p1407,20140106,6126,6126,0,0,0,6074,6074,-52,-52,0,0,0
486,p1408,20140106,6136,6136,6030,6030,6030,6030,6030,-106,-106,2,120600,4
638,p1409,20140106,6128,6140,6102,6126,6042,6060,6084,-80,-56,137882,8389008160,105540
811,p1410,20140106,6200,6200,0,0,0,6144,6144,-56,-56,0,0,14
1005,p1411,20140106,6166,6166,0,0,0,6116,6116,-50,-50,0,0,0
1217,p1412,20140106,6164,6164,0,0,0,6106,6106,-58,-58,0,0,2
4,p1401,20140107,5780,5780,0,0,0,5780,5780,0,0,0,0,11578
14,p1402,20140107,5980,5980,0,0,0,5960,5960,-20,-20,0,0,12
45,p1403,20140107,5938,5938,0,0,0,5936,5936,-2,-2,0,0,10
92,p1404,20140107,6044,6010,0,0,0,5988,5988,-22,-22,0,0,12
160,p1405,20140107,5976,6000,5992,5992,5902,5936,5944,-64,-56,530696,31551753360,421006
249,p1406,20140107,6000,6040,5898,5998,5898,5958,5966,-82,-74,20,1193320,4
358,p1407,20140107,6074,6074,0,0,0,6048,6048,-26,-26,0,0,0
487,p1408,20140107,6030,6030,0,0,0,6030,6030,0,0,0,0,4
639,p1409,20140107,6060,6084,6050,6068,5986,6012,6026,-72,-58,88884,5356544720,109164
812,p1410,20140107,6144,6144,6052,6052,6052,6052,6052,-92,-92,2,121040,12
1006,p1411,20140107,6116,6116,0,0,0,6096,6096,-20,-20,0,0,0
1218,p1412,20140107,6106,6106,0,0,0,6070,6070,-36,-36,0,0,2
5,p1401,20140108,5780,5780,0,0,0,5780,5780,0,0,0,0,11578
15,p1402,20140108,5960,5960,0,0,0,5800,5800,-160,-160,0,0,12
46,p1403,20140108,5936,5936,0,0,0,5768,5768,-168,-168,0,0,10
93,p1404,20140108,5988,5988,5796,5850,5772,5772,5804,-216,-184,16,928880,12
161,p1405,20140108,5936,5944,5920,5930,5776,5786,5830,-158,-114,899106,52425359520,438476
250,p1406,20140108,5958,5966,5932,5932,5846,5846,5866,-120,-100,232,13613040,2
359,p1407,20140108,6048,6048,0,0,0,5904,5904,-144,-144,0,0,0
488,p1408,20140108,6030,6030,5874,5874,5874,5874,5874,-156,-156,2,117480,2
640,p1409,20140108,6012,6026,6002,6012,5868,5876,5928,-150,-98,119420,7079227800,94416
813,p1410,20140108,6052,6052,5900,5900,5900,5900,5900,-152,-152,2,118000,12
1007,p1411,20140108,6096,6096,0,0,0,5904,5904,-192,-192,0,0,0
1219,p1412,20140108,6070,6070,0,0,0,5954,5954,-116,-116,0,0,2
6,p1401,20140109,5780,5780,0,0,0,5780,5780,0,0,0,0,11578
16,p1402,20140109,5800,5800,5698,5828,5698,5792,5772,-8,-28,12,692720,12
47,p1403,20140109,5768,5768,0,0,0,5768,5768,0,0,0,0,10
94,p1404,20140109,5772,5804,5876,5876,5742,5760,5826,-44,22,82,4778720,14
162,p1405,20140109,5786,5830,5800,5866,5768,5812,5812,-18,-18,686098,39888224840,419726
251,p1406,20140109,5846,5866,5888,5888,5792,5828,5816,-38,-50,86,5003000,26
360,p1407,20140109,5904,5904,0,0,0,5904,5904,0,0,0,0,0
489,p1408,20140109,5874,5874,0,0,0,5874,5874,0,0,0,0,2
641,p1409,20140109,5876,5928,5870,5942,5842,5886,5890,-42,-38,104442,6151981520,97520
814,p1410,20140109,5900,5900,5938,5938,5902,5902,5920,2,20,22,1302520,12
1008,p1411,20140109,5904,5904,0,0,0,5904,5904,0,0,0,0,0
1220,p1412,20140109,5954,5954,0,0,0,5954,5954,0,0,0,0,2
7,p1401,20140110,5780,5780,5780,5780,5780,5780,5780,0,0,78,4508400,11500
17,p1402,20140110,5792,5772,0,0,0,5820,5820,48,48,0,0,12
48,p1403,20140110,5768,5768,0,0,0,5768,5768,0,0,0,0,10
95,p1404,20140110,5760,5826,5866,5866,5866,5866,5866,40,40,2,117320,12
163,p1405,20140110,5812,5812,5832,5884,5824,5850,5852,38,40,611098,35772997680,425054
252,p1406,20140110,5828,5816,5876,5928,5852,5910,5880,94,64,26,1529080,24
361,p1407,20140110,5904,5904,5874,5874,5874,5874,5874,-30,-30,8,469920,8
490,p1408,20140110,5874,5874,0,0,0,5874,5874,0,0,0,0,2
642,p1409,20140110,5886,5890,5910,5950,5896,5918,5922,28,32,75072,4447151160,102726
815,p1410,20140110,5902,5920,5932,5948,5932,5948,5940,28,20,6,356440,12
1009,p1411,20140110,5904,5904,0,0,0,5904,5904,0,0,0,0,0
1221,p1412,20140110,5954,5954,0,0,0,5954,5954,0,0,0,0,2
8,p1401,20140113,5780,5780,0,0,0,5780,5780,0,0,0,0,11500
18,p1402,20140113,5820,5820,0,0,0,5820,5820,0,0,0,0,12
49,p1403,20140113,5768,5768,0,0,0,5768,5768,0,0,0,0,10
96,p1404,20140113,5866,5866,0,0,0,5856,5856,-10,-10,0,0,12
164,p1405,20140113,5850,5852,5862,5874,5788,5828,5816,-24,-36,623502,36274735000,424624
253,p1406,20140113,5910,5880,5892,5892,5836,5850,5856,-30,-24,36,2108600,8
362,p1407,20140113,5874,5874,0,0,0,5852,5852,-22,-22,0,0,8
491,p1408,20140113,5874,5874,0,0,0,5874,5874,0,0,0,0,2
643,p1409,20140113,5918,5922,5934,5948,5860,5900,5890,-22,-32,88304,5202311560,103678
816,p1410,20140113,5948,5940,5904,5904,5904,5904,5904,-36,-36,2,118080,12
1010,p1411,20140113,5904,5904,0,0,0,5904,5904,0,0,0,0,0
1222,p1412,20140113,5954,5954,0,0,0,5954,5954,0,0,0,0,2
9,p1401,20140114,5780,5780,0,0,0,5780,5780,0,0,0,0,11500
19,p1402,20140114,5820,5820,0,0,0,5820,5820,0,0,0,0,12
50,p1403,20140114,5768,5768,0,0,0,5768,5768,0,0,0,0,10
97,p1404,20140114,5856,5856,5730,5828,5730,5828,5778,-28,-78,12,693480,18
165,p1405,20140114,5828,5816,5806,5854,5794,5848,5828,32,12,443412,25848270200,416032
254,p1406,20140114,5850,5856,5864,5864,5834,5852,5858,-4,2,24,1406200,28
363,p1407,20140114,5852,5852,5930,5930,5930,5930,5930,78,78,2,118600,10
492,p1408,20140114,5874,5874,0,0,0,5874,5874,0,0,0,0,2
644,p1409,20140114,5900,5890,5880,5926,5870,5926,5906,36,16,79016,4667036440,110490
817,p1410,20140114,5904,5904,5932,5932,5932,5932,5932,28,28,2,118640,12
1011,p1411,20140114,5904,5904,0,0,0,5904,5904,0,0,0,0,0
1223,p1412,20140114,5954,5954,0,0,0,5954,5954,0,0,0,0,2
10,p1401,20140115,5780,5780,0,0,0,5814,5814,34,34,0,0,0
20,p1402,20140115,5820,5820,0,0,0,5820,5820,0,0,0,0,12
51,p1403,20140115,5768,5768,0,0,0,5768,5768,0,0,0,0,10
98,p1404,20140115,5828,5778,5738,5738,5738,5738,5738,-40,-40,2,114760,16
166,p1405,20140115,5848,5828,5830,5854,5770,5780,5806,-48,-22,472000,27409753440,438026
255,p1406,20140115,5852,5858,5850,5922,5810,5810,5848,-48,-10,44,2573640,16
364,p1407,20140115,5930,5930,0,0,0,5882,5882,-48,-48,0,0,10
493,p1408,20140115,5874,5874,5850,5928,5850,5928,5888,54,14,8,471120,4
645,p1409,20140115,5926,5906,5920,5930,5846,5856,5880,-50,-26,68340,4019571080,117958
818,p1410,20140115,5932,5932,5920,5920,5900,5900,5908,-32,-24,10,590960,12
1012,p1411,20140115,5904,5904,0,0,0,5882,5882,-22,-22,0,0,0
1224,p1412,20140115,5954,5954,0,0,0,5906,5906,-48,-48,0,0,2
21,p1402,20140116,5820,5820,0,0,0,5820,5820,0,0,0,0,12
52,p1403,20140116,5768,5768,0,0,0,5770,5770,2,2,0,0,10
