"   ","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","j1401","20140102","1379.00","1381.00","1375","1395","1365","1379","1383","-2","2","162","22406400.00","810"
"2","j1401","20140103","1379.00","1383.00","1380","1442","1352","1352","1416","-31","33","280","39674000.00","770"
"3","j1401","20140106","1352.00","1416.00","1332","1332","1332","1332","1332","-84","-84","160","21312000.00","770"
"4","j1401","20140107","1332.00","1332.00","0","0","0","1332","1332","0","0","0","0.00","770"
"5","j1401","20140108","1332.00","1332.00","0","0","0","1332","1332","0","0","0","0.00","770"
"6","j1401","20140109","1332.00","1332.00","1332","1332","1300","1332","1325","0","-7","100","13256800.00","786"
"7","j1401","20140110","1332.00","1325.00","1339","1339","1339","1339","1339","14","14","106","14193400.00","680"
"8","j1401","20140113","1339.00","1339.00","0","0","0","1339","1339","0","0","0","0.00","680"
"9","j1401","20140114","1339.00","1339.00","1335","1335","1335","1335","1335","-4","-4","60","8010000.00","620"
"10","j1401","20140115","1335.00","1335.00","1300","1300","1300","1300","1359","-35","24","140","18200000.00","0"
"11","j1402","20140102","1427.00","1427.00","0","0","0","1414","1414","-13","-13","0","0.00","82"
"12","j1402","20140103","1414.00","1414.00","0","0","0","1390","1390","-24","-24","0","0.00","82"
"13","j1402","20140106","1390.00","1390.00","1377","1398","1377","1385","1385","-5","-5","40","5543600.00","48"
"14","j1402","20140107","1385.00","1385.00","1376","1376","1376","1376","1376","-9","-9","2","275200.00","48"
"15","j1402","20140108","1376.00","1376.00","0","0","0","1376","1376","0","0","0","0.00","48"
"16","j1402","20140109","1376.00","1376.00","0","0","0","1360","1360","-16","-16","0","0.00","48"
"17","j1402","20140110","1360.00","1360.00","0","0","0","1360","1360","0","0","0","0.00","48"
"18","j1402","20140113","1360.00","1360.00","1375","1375","1330","1330","1343","-30","-17","12","1612000.00","40"
"19","j1402","20140114","1330.00","1343.00","0","0","0","1343","1343","0","0","0","0.00","40"
"20","j1402","20140115","1343.00","1343.00","1331","1331","1331","1331","1331","-12","-12","4","532400.00","40"
"21","j1402","20140116","1331.00","1331.00","1328","1328","1328","1328","1328","-3","-3","2","265600.00","42"
"22","j1402","20140117","1328.00","1328.00","0","0","0","1328","1328","0","0","0","0.00","42"
"23","j1402","20140120","1328.00","1328.00","1300","1329","1300","1329","1309","1","-19","32","4191800.00","26"
"24","j1402","20140121","1329.00","1309.00","1306","1306","1289","1289","1292","-20","-17","10","1292400.00","20"
"25","j1402","20140122","1289.00","1292.00","0","0","0","1292","1292","0","0","0","0.00","20"
"26","j1402","20140123","1292.00","1292.00","0","0","0","1292","1292","0","0","0","0.00","20"
"27","j1402","20140124","1292.00","1292.00","1275","1326","1275","1326","1289","34","-3","14","1805400.00","10"
"28","j1402","20140127","1326.00","1289.00","1319","1319","1319","1319","1319","30","30","4","527600.00","10"
"29","j1402","20140128","1319.00","1319.00","1299","1299","1299","1299","1299","-20","-20","4","519600.00","6"
"30","j1402","20140129","1299.00","1299.00","1296","1296","1296","1296","1296","-3","-3","6","777600.00","0"
"31","j1402","20140130","1296.00","1296.00","0","0","0","1296","1296","0","0","0","0.00","0"
"32","j1402","20140207","1296.00","1296.00","0","0","0","1296","1296","0","0","0","0.00","0"
"33","j1402","20140210","1296.00","1296.00","0","0","0","1296","1296","0","0","0","0.00","0"
"34","j1402","20140211","1296.00","1296.00","0","0","0","1296","1296","0","0","0","0.00","0"
"35","j1402","20140212","1296.00","1296.00","0","0","0","1296","1296","0","0","0","0.00","0"
"36","j1402","20140213","1296.00","1296.00","0","0","0","1296","1296","0","0","0","0.00","0"
"37","j1402","20140214","1296.00","1296.00","0","0","0","1296","1296","0","0","0","0.00","0"
"38","j1402","20140217","1296.00","1296.00","0","0","0","1296","1296","0","0","0","0.00","0"
"39","j1402","20140218","1296.00","1296.00","0","0","0","1296","1296","0","0","0","0.00","0"
"40","j1402","20140219","1296.00","1296.00","0","0","0","1296","1296","0","0","0","0.00","0"
"41","j1402","20140220","1296.00","1296.00","0","0","0","1296","1296","0","0","0","0.00","0"
"42","j1403","20140102","1442.00","1442.00","0","0","0","1439","1439","-3","-3","0","0.00","2"
"43","j1403","20140103","1439.00","1439.00","0","0","0","1415","1415","-24","-24","0","0.00","2"
"44","j1403","20140106","1415.00","1415.00","0","0","0","1402","1402","-13","-13","0","0.00","2"
"45","j1403","20140107","1402.00","1402.00","0","0","0","1393","1393","-9","-9","0","0.00","2"
"46","j1403","20140108","1393.00","1393.00","0","0","0","1393","1393","0","0","0","0.00","2"
"47","j1403","20140109","1393.00","1393.00","0","0","0","1362","1362","-31","-31","0","0.00","2"
"48","j1403","20140110","1362.00","1362.00","0","0","0","1362","1362","0","0","0","0.00","2"
"49","j1403","20140113","1362.00","1362.00","0","0","0","1362","1362","0","0","0","0.00","2"
"50","j1403","20140114","1362.00","1362.00","1350","1364","1349","1355","1357","-7","-5","26","3530000.00","2"
"51","j1403","20140115","1355.00","1357.00","0","0","0","1345","1345","-12","-12","0","0.00","2"
"52","j1403","20140116","1345.00","1345.00","0","0","0","1342","1342","-3","-3","0","0.00","2"
"53","j1403","20140117","1342.00","1342.00","0","0","0","1342","1342","0","0","0","0.00","2"
"54","j1403","20140120","1342.00","1342.00","0","0","0","1323","1323","-19","-19","0","0.00","2"
"55","j1403","20140121","1323.00","1323.00","0","0","0","1306","1306","-17","-17","0","0.00","2"
"56","j1403","20140122","1306.00","1306.00","0","0","0","1306","1306","0","0","0","0.00","2"
"57","j1403","20140123","1306.00","1306.00","0","0","0","1306","1306","0","0","0","0.00","2"
"58","j1403","20140124","1306.00","1306.00","0","0","0","1303","1303","-3","-3","0","0.00","2"
"59","j1403","20140127","1303.00","1303.00","0","0","0","1333","1333","30","30","0","0.00","2"
"60","j1403","20140128","1333.00","1333.00","0","0","0","1313","1313","-20","-20","0","0.00","2"
"61","j1403","20140129","1313.00","1313.00","0","0","0","1310","1310","-3","-3","0","0.00","2"
"62","j1403","20140130","1310.00","1310.00","0","0","0","1310","1310","0","0","0","0.00","2"
"63","j1403","20140207","1310.00","1310.00","0","0","0","1310","1310","0","0","0","0.00","2"
"64","j1403","20140210","1310.00","1310.00","0","0","0","1310","1310","0","0","0","0.00","2"
"65","j1403","20140211","1310.00","1310.00","0","0","0","1310","1310","0","0","0","0.00","2"
"66","j1403","20140212","1310.00","1310.00","0","0","0","1310","1310","0","0","0","0.00","2"
"67","j1403","20140213","1310.00","1310.00","0","0","0","1310","1310","0","0","0","0.00","2"
"68","j1403","20140214","1310.00","1310.00","0","0","0","1310","1310","0","0","0","0.00","2"
"69","j1403","20140217","1310.00","1310.00","0","0","0","1310","1310","0","0","0","0.00","2"
"70","j1403","20140218","1310.00","1310.00","0","0","0","1310","1310","0","0","0","0.00","2"
