"   ","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","fb1404","20140102","70.45","70.45","0","0","0","69.95","69.95","-0.5","-0.5","0","0.00","4"
"2","fb1404","20140103","69.95","69.95","0","0","0","69.95","69.95","0","0","0","0.00","4"
"3","fb1404","20140106","69.95","69.95","0","0","0","69.95","69.95","0","0","0","0.00","4"
"4","fb1404","20140107","69.95","69.95","67.2","67.2","67.2","67.2","67.2","-2.75","-2.75","4","134400.00","0"
"5","fb1404","20140108","67.20","67.20","0","0","0","66.3","66.3","-0.9","-0.9","0","0.00","0"
"6","fb1404","20140109","66.30","66.30","0","0","0","66.35","66.35","0.05","0.05","0","0.00","0"
"7","fb1404","20140110","66.35","66.35","0","0","0","66.35","66.35","0","0","0","0.00","0"
"8","fb1404","20140113","66.35","66.35","0","0","0","66.35","66.35","0","0","0","0.00","0"
"9","fb1404","20140114","66.35","66.35","0","0","0","67.7","67.7","1.35","1.35","0","0.00","0"
"10","fb1404","20140115","67.70","67.70","0","0","0","67.7","67.7","0","0","0","0.00","0"
"11","fb1404","20140116","67.70","67.70","0","0","0","67.7","67.7","0","0","0","0.00","0"
"12","fb1404","20140117","67.70","67.70","0","0","0","67.7","67.7","0","0","0","0.00","0"
"13","fb1404","20140120","67.70","67.70","65","66.25","65","66.25","65.6","-1.45","-2.1","4","131250.00","0"
"14","fb1404","20140121","66.25","65.60","0","0","0","65.6","65.6","0","0","0","0.00","0"
"15","fb1404","20140122","65.60","65.60","0","0","0","65.6","65.6","0","0","0","0.00","0"
"16","fb1404","20140123","65.60","65.60","0","0","0","65.6","65.6","0","0","0","0.00","0"
"17","fb1404","20140124","65.60","65.60","0","0","0","65.6","65.6","0","0","0","0.00","0"
"18","fb1404","20140127","65.60","65.60","0","0","0","65.6","65.6","0","0","0","0.00","0"
"19","fb1404","20140128","65.60","65.60","0","0","0","64.7","64.7","-0.9","-0.9","0","0.00","0"
"20","fb1404","20140129","64.70","64.70","0","0","0","64.7","64.7","0","0","0","0.00","0"
"21","fb1404","20140130","64.70","64.70","0","0","0","64.7","64.7","0","0","0","0.00","0"
"22","fb1404","20140207","64.70","64.70","0","0","0","64.7","64.7","0","0","0","0.00","0"
"23","fb1404","20140210","64.70","64.70","0","0","0","64.7","64.7","0","0","0","0.00","0"
"24","fb1404","20140211","64.70","64.70","66.9","66.9","66","66","66.45","1.3","1.75","4","132900.00","0"
"25","fb1404","20140212","66.00","66.45","0","0","0","66.45","66.45","0","0","0","0.00","0"
