"   ","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","pp1405","20140228","10500.00","10500.00","10680","10720","10604","10657","10670","157","170","97582","5206229430.00","21256"
"2","pp1405","20140303","10657.00","10670.00","10696","10790","10602","10632","10652","-38","-18","44726","2382163180.00","18328"
"3","pp1405","20140304","10632.00","10652.00","10632","10717","10602","10706","10660","54","8","23872","1272393270.00","21784"
"4","pp1405","20140305","10706.00","10660.00","10710","10732","10676","10710","10700","50","40","23616","1263527700.00","27896"
"5","pp1405","20140306","10710.00","10700.00","10700","10700","10560","10640","10630","-60","-70","37168","1975550500.00","28898"
"6","pp1405","20140307","10640.00","10630.00","10630","10648","10600","10630","10626","0","-4","12752","677560470.00","29338"
"7","pp1405","20140310","10630.00","10626.00","10588","10595","10451","10504","10515","-122","-111","25378","1334343120.00","29378"
"8","pp1405","20140311","10504.00","10515.00","10500","10670","10440","10555","10544","40","29","12912","680743830.00","27980"
"9","pp1405","20140312","10555.00","10544.00","10500","10655","10489","10655","10584","111","40","10090","533967000.00","29378"
"10","pp1405","20140313","10655.00","10584.00","10640","10688","10616","10663","10649","79","65","5278","281049540.00","28192"
"11","pp1405","20140314","10663.00","10649.00","10640","10711","10620","10698","10678","49","29","13272","708598690.00","24964"
"12","pp1405","20140317","10698.00","10678.00","10702","10757","10623","10693","10671","15","-7","7174","382773780.00","22520"
"13","pp1405","20140318","10693.00","10671.00","10670","10825","10650","10820","10756","149","85","10224","549856600.00","21576"
"14","pp1405","20140319","10820.00","10756.00","10850","10850","10740","10744","10788","-12","32","5744","309841510.00","20800"
"15","pp1405","20140320","10744.00","10788.00","10740","10797","10730","10781","10773","-7","-15","2894","155898580.00","20732"
"16","pp1405","20140321","10781.00","10773.00","10775","10817","10755","10799","10783","26","10","2348","126594620.00","20206"
"17","pp1405","20140324","10799.00","10783.00","10846","10849","10790","10821","10816","38","33","1572","85016390.00","19588"
"18","pp1405","20140325","10821.00","10816.00","10809","10982","10809","10920","10897","104","81","5814","316793750.00","18636"
"19","pp1405","20140326","10920.00","10897.00","10910","11005","10892","10973","10949","76","52","6168","337686800.00","16576"
"20","pp1405","20140327","10973.00","10949.00","11000","11000","10950","10977","10969","28","20","1486","81504470.00","16324"
"21","pp1405","20140328","10977.00","10969.00","10998","11039","10967","11039","10994","70","25","2660","146226960.00","14770"
"22","pp1405","20140331","11039.00","10994.00","11038","11050","11018","11047","11042","53","48","1362","75196580.00","13938"
"23","pp1405","20140401","11047.00","11042.00","11049","11130","11026","11098","11090","56","48","5172","286811810.00","10272"
"24","pp1405","20140402","11098.00","11090.00","10730","11093","10730","11061","10939","-29","-151","3358","183668850.00","9182"
"25","pp1405","20140403","11061.00","10939.00","11074","11270","11028","11184","11175","245","236","3402","190090220.00","8402"
"26","pp1405","20140404","11184.00","11175.00","11263","11290","11239","11280","11263","105","88","1156","65103450.00","7962"
"27","pp1405","20140408","11280.00","11263.00","11278","11304","11201","11212","11235","-51","-28","644","36178540.00","7638"
"28","pp1405","20140409","11212.00","11235.00","11220","11220","11170","11201","11199","-34","-36","394","22063280.00","7690"
"29","pp1405","20140410","11201.00","11199.00","11210","11245","11160","11170","11220","-29","21","890","49931920.00","7236"
