"   ","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","i1403","20140102","921.00","921.00","915","918","912","912","915","-9","-6","12","1098600.00","362"
"2","i1403","20140103","912.00","915.00","908","914","893","914","899","-1","-16","88","7917800.00","402"
"3","i1403","20140106","914.00","899.00","908","912","908","909","910","10","11","118","10742600.00","404"
"4","i1403","20140107","909.00","910.00","0","0","0","910","910","0","0","0","0.00","404"
"5","i1403","20140108","910.00","910.00","909","912","909","912","910","2","0","10","910600.00","406"
"6","i1403","20140109","912.00","910.00","912","912","907","907","909","-3","-1","8","727800.00","404"
"7","i1403","20140110","907.00","909.00","0","0","0","909","909","0","0","0","0.00","404"
"8","i1403","20140113","909.00","909.00","900","910","900","906","907","-3","-2","34","3086000.00","388"
"9","i1403","20140114","906.00","907.00","909","919","909","915","912","8","5","30","2738200.00","384"
"10","i1403","20140115","915.00","912.00","0","0","0","912","912","0","0","0","0.00","384"
"11","i1403","20140116","912.00","912.00","918","918","910","915","914","3","2","38","3474400.00","370"
"12","i1403","20140117","915.00","914.00","925","925","904","910","909","-4","-5","84","7639200.00","342"
"13","i1403","20140120","910.00","909.00","915","915","900","907","905","-2","-4","8","724400.00","334"
"14","i1403","20140121","907.00","905.00","904","904","884","889","889","-16","-16","60","5334400.00","282"
"15","i1403","20140122","889.00","889.00","895","912","890","890","901","1","12","34","3065000.00","282"
"16","i1403","20140123","890.00","901.00","905","914","900","914","904","13","3","32","2892800.00","266"
"17","i1403","20140124","914.00","904.00","916","917","900","900","909","-4","5","14","1273600.00","264"
"18","i1403","20140127","900.00","909.00","885","885","875","884","881","-25","-28","82","7228400.00","260"
"19","i1403","20140128","884.00","881.00","884","884","870","870","876","-11","-5","28","2452800.00","260"
"20","i1403","20140129","870.00","876.00","0","0","0","876","876","0","0","0","0.00","260"
"21","i1403","20140130","876.00","876.00","873","873","847","847","860","-29","-16","4","344000.00","260"
"22","i1403","20140207","847.00","860.00","835","845","827","845","836","-15","-24","30","2509000.00","244"
"23","i1403","20140210","845.00","836.00","850","853","850","853","851","17","15","8","681200.00","246"
"24","i1403","20140211","853.00","851.00","838","864","838","860","856","9","5","8","685200.00","246"
"25","i1403","20140212","860.00","856.00","838","838","837","837","837","-19","-19","22","1843000.00","230"
"26","i1403","20140213","837.00","837.00","0","0","0","837","837","0","0","0","0.00","230"
"27","i1403","20140214","837.00","837.00","860","860","841","841","850","4","13","6","510400.00","228"
"28","i1403","20140217","841.00","850.00","831","843","831","843","837","-7","-13","4","334800.00","228"
"29","i1403","20140218","843.00","837.00","858","859","858","858","858","21","21","6","515000.00","224"
"30","i1403","20140219","858.00","858.00","859","863","859","863","861","5","3","4","344400.00","222"
"31","i1403","20140220","863.00","861.00","851","851","851","851","851","-10","-10","4","340400.00","218"
"32","i1403","20140221","851.00","851.00","854","854","843","843","848","-8","-3","4","339400.00","216"
"33","i1403","20140224","843.00","848.00","848","848","848","848","848","0","0","200","16960000.00","216"
"34","i1403","20140225","848.00","848.00","0","0","0","848","848","0","0","0","0.00","216"
"35","i1403","20140226","848.00","848.00","0","0","0","848","848","0","0","0","0.00","216"
"36","i1403","20140227","848.00","848.00","0","0","0","848","848","0","0","0","0.00","216"
"37","i1403","20140228","848.00","848.00","848","860","818","838","838","-10","-10","18","1508600.00","202"
"38","i1403","20140303","838.00","838.00","838","838","838","838","838","0","0","2","167600.00","200"
"39","i1403","20140304","838.00","838.00","0","0","0","838","838","0","0","0","0.00","200"
"40","i1403","20140305","838.00","838.00","0","0","0","838","838","0","0","0","0.00","200"
"41","i1403","20140306","838.00","838.00","0","0","0","838","838","0","0","0","0.00","200"
