,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,p1501,20150105,4898,4852,4880,4880,4800,4816,4828,-36,-24,1262,60954560,15166
2,p1501,20150106,4816,4828,0,0,0,4828,4828,0,0,0,0,15166
3,p1501,20150107,4828,4828,4820,4832,4820,4824,4828,-4,0,222,10720520,15004
4,p1501,20150108,4824,4828,4828,4906,4828,4906,4884,78,56,100,4884840,15004
5,p1501,20150109,4906,4884,4830,4900,4830,4900,4894,16,10,162,7928760,14842
6,p1501,20150112,4900,4894,0,0,0,4894,4894,0,0,0,0,14842
7,p1501,20150113,4894,4894,0,0,0,4894,4894,0,0,0,0,14842
8,p1501,20150114,4894,4894,4820,4820,4820,4820,4820,-74,-74,230,11086000,14842
9,p1501,20150115,4820,4820,4760,4760,4760,4760,4760,-60,-60,2,95200,14840
10,p1501,20150116,4760,4760,4756,4756,4756,4756,4836,-4,76,14,665840,0
11,p1502,20150105,4996,4996,0,0,0,4972,4972,-24,-24,0,0,6
12,p1502,20150106,4972,4972,0,0,0,4972,4972,0,0,0,0,6
13,p1502,20150107,4972,4972,5162,5162,4852,5012,5012,40,40,8,400960,6
14,p1502,20150108,5012,5012,0,0,0,5070,5070,58,58,0,0,6
15,p1502,20150109,5070,5070,0,0,0,5080,5080,10,10,0,0,6
16,p1502,20150112,5080,5080,5240,5240,5240,5240,5240,160,160,2,104800,6
17,p1502,20150113,5240,5240,5032,5032,5032,5032,5032,-208,-208,2,100640,6
18,p1502,20150114,5032,5032,5028,5028,4832,4832,4930,-200,-102,8,394400,2
19,p1502,20150115,4832,4930,4746,4746,4746,4746,4746,-184,-184,2,94920,2
20,p1502,20150116,4746,4746,0,0,0,4820,4820,74,74,0,0,2
21,p1502,20150119,4820,4820,5010,5010,5010,5010,5010,190,190,2,100200,0
22,p1502,20150120,5010,5010,0,0,0,5010,5010,0,0,0,0,0
23,p1502,20150121,5010,5010,0,0,0,5010,5010,0,0,0,0,0
24,p1502,20150122,5010,5010,0,0,0,5010,5010,0,0,0,0,0
25,p1502,20150123,5010,5010,0,0,0,5010,5010,0,0,0,0,0
26,p1502,20150126,5010,5010,0,0,0,5010,5010,0,0,0,0,0
27,p1502,20150127,5010,5010,0,0,0,5010,5010,0,0,0,0,0
28,p1502,20150128,5010,5010,0,0,0,5010,5010,0,0,0,0,0
29,p1502,20150129,5010,5010,0,0,0,5010,5010,0,0,0,0,0
30,p1502,20150130,5010,5010,0,0,0,5010,5010,0,0,0,0,0
31,p1502,20150202,5010,5010,0,0,0,5010,5010,0,0,0,0,0
32,p1502,20150203,5010,5010,0,0,0,5010,5010,0,0,0,0,0
33,p1502,20150204,5010,5010,0,0,0,5010,5010,0,0,0,0,0
34,p1502,20150205,5010,5010,0,0,0,5010,5010,0,0,0,0,0
35,p1502,20150206,5010,5010,0,0,0,5010,5010,0,0,0,0,0
36,p1502,20150209,5010,5010,0,0,0,5010,5010,0,0,0,0,0
37,p1502,20150210,5010,5010,0,0,0,5010,5010,0,0,0,0,0
38,p1502,20150211,5010,5010,0,0,0,5010,5010,0,0,0,0,0
39,p1502,20150212,5010,5010,0,0,0,5010,5010,0,0,0,0,0
40,p1502,20150213,5010,5010,0,0,0,5010,5010,0,0,0,0,0
41,p1503,20150105,5084,5084,0,0,0,5060,5060,-24,-24,0,0,14
42,p1503,20150106,5060,5060,0,0,0,5060,5060,0,0,0,0,14
43,p1503,20150107,5060,5060,0,0,0,5100,5100,40,40,0,0,14
44,p1503,20150108,5100,5100,0,0,0,5158,5158,58,58,0,0,14
45,p1503,20150109,5158,5158,0,0,0,5168,5168,10,10,0,0,14
46,p1503,20150112,5168,5168,0,0,0,5330,5330,162,162,0,0,14
47,p1503,20150113,5330,5330,5118,5118,5118,5118,5118,-212,-212,2,102360,14
48,p1503,20150114,5118,5118,0,0,0,5016,5016,-102,-102,0,0,14
49,p1503,20150115,5016,5016,0,0,0,4830,4830,-186,-186,0,0,14
50,p1503,20150116,4830,4830,0,0,0,4946,4946,116,116,0,0,14
51,p1503,20150119,4946,4946,0,0,0,5140,5140,194,194,0,0,14
52,p1503,20150120,5140,5140,4960,4960,4960,4960,4960,-180,-180,2,99200,14
53,p1503,20150121,4960,4960,0,0,0,4960,4960,0,0,0,0,14
54,p1503,20150122,4960,4960,0,0,0,4960,4960,0,0,0,0,14
55,p1503,20150123,4960,4960,5076,5076,5004,5004,5040,44,80,4,201600,18
56,p1503,20150126,5004,5040,4984,4984,4984,4984,4984,-56,-56,2,99680,18
57,p1503,20150127,4984,4984,4962,5038,4960,5030,4996,46,12,8,399800,16
58,p1503,20150128,5030,4996,4900,4900,4900,4900,4900,-96,-96,2,98000,16
59,p1503,20150129,4900,4900,0,0,0,4900,4900,0,0,0,0,16
60,p1503,20150130,4900,4900,4720,4758,4720,4748,4742,-152,-158,6,284520,14
61,p1503,20150202,4748,4742,4796,4796,4796,4796,4796,54,54,2,95920,14
62,p1503,20150203,4796,4796,0,0,0,4846,4846,50,50,0,0,14
63,p1503,20150204,4846,4846,0,0,0,4856,4856,10,10,0,0,14
64,p1503,20150205,4856,4856,0,0,0,4910,4910,54,54,0,0,14
65,p1503,20150206,4910,4910,5048,5050,5008,5050,5034,140,124,6,302120,10
66,p1503,20150209,5050,5034,0,0,0,5034,5034,0,0,0,0,10
67,p1503,20150210,5034,5034,5034,5034,5032,5032,5032,-2,-2,10,503360,14
68,p1503,20150211,5032,5032,0,0,0,5032,5032,0,0,0,0,14
69,p1503,20150212,5032,5032,0,0,0,5032,5032,0,0,0,0,14
70,p1503,20150213,5032,5032,0,0,0,5032,5032,0,0,0,0,14
71,p1503,20150216,5032,5032,0,0,0,5032,5032,0,0,0,0,14
72,p1503,20150217,5032,5032,0,0,0,5032,5032,0,0,0,0,14
73,p1503,20150225,5032,5032,4824,4824,4822,4822,4822,-210,-210,4,192920,10
74,p1503,20150226,4822,4822,0,0,0,4850,4850,28,28,0,0,10
75,p1503,20150227,4850,4850,4850,4850,4750,4750,4816,-100,-34,6,289000,4
76,p1503,20150302,4750,4816,0,0,0,4816,4816,0,0,0,0,4
77,p1503,20150303,4816,4816,0,0,0,4816,4816,0,0,0,0,4
78,p1503,20150304,4816,4816,0,0,0,4816,4816,0,0,0,0,4
79,p1503,20150305,4816,4816,0,0,0,4816,4816,0,0,0,0,4
80,p1503,20150306,4816,4816,0,0,0,4816,4816,0,0,0,0,4
81,p1503,20150309,4816,4816,0,0,0,4816,4816,0,0,0,0,4
82,p1503,20150310,4816,4816,0,0,0,4900,4900,84,84,0,0,4
83,p1503,20150311,4900,4900,0,0,0,4900,4900,0,0,0,0,4
84,p1503,20150312,4900,4900,4900,4900,4900,4900,4900,0,0,4,196000,0
85,p1503,20150313,4900,4900,0,0,0,4900,4900,0,0,0,0,0
86,p1504,20150105,5086,5134,0,0,0,5110,5110,-24,-24,0,0,8
87,p1504,20150106,5110,5110,5044,5044,5044,5044,5044,-66,-66,2,100880,10
88,p1504,20150107,5044,5044,5060,5060,5060,5060,5060,16,16,2,101200,8
89,p1504,20150108,5060,5060,5098,5098,5060,5060,5080,0,20,18,914600,6
90,p1504,20150109,5060,5080,0,0,0,5080,5080,0,0,0,0,6
91,p1504,20150112,5080,5080,0,0,0,5080,5080,0,0,0,0,6
92,p1504,20150113,5080,5080,5024,5024,5024,5024,5024,-56,-56,2,100480,8
93,p1504,20150114,5024,5024,0,0,0,4924,4924,-100,-100,0,0,8
94,p1504,20150115,4924,4924,4948,4948,4948,4948,4948,24,24,4,197920,4
95,p1504,20150116,4948,4948,0,0,0,4948,4948,0,0,0,0,4
96,p1504,20150119,4948,4948,4930,4930,4930,4930,4930,-18,-18,2,98600,4
97,p1504,20150120,4930,4930,4960,4960,4960,4960,4960,30,30,2,99200,4
98,p1504,20150121,4960,4960,0,0,0,4956,4956,-4,-4,0,0,4
99,p1504,20150122,4956,4956,0,0,0,4956,4956,0,0,0,0,4
100,p1504,20150123,4956,4956,0,0,0,5034,5034,78,78,0,0,4
101,p1504,20150126,5034,5034,0,0,0,4980,4980,-54,-54,0,0,4
102,p1504,20150127,4980,4980,0,0,0,4990,4990,10,10,0,0,4
103,p1504,20150128,4990,4990,4810,4872,4810,4872,4840,-118,-150,4,193640,4
104,p1504,20150129,4872,4840,4824,4824,4824,4824,4824,-16,-16,2,96480,6
105,p1504,20150130,4824,4824,4662,4698,4632,4632,4664,-192,-160,6,279840,4
106,p1504,20150202,4632,4664,0,0,0,4716,4716,52,52,0,0,4
107,p1504,20150203,4716,4716,0,0,0,4716,4716,0,0,0,0,4
108,p1504,20150204,4716,4716,4820,4820,4820,4820,4820,104,104,2,96400,2
109,p1504,20150205,4820,4820,4800,4800,4772,4772,4786,-48,-34,4,191440,2
110,p1504,20150206,4772,4786,4810,4810,4810,4810,4810,24,24,12,577200,12
111,p1504,20150209,4810,4810,4828,4830,4828,4830,4828,20,18,4,193160,12
112,p1504,20150210,4830,4828,4868,4920,4816,4920,4864,92,36,26,1264640,4
113,p1504,20150211,4920,4864,0,0,0,4864,4864,0,0,0,0,4
114,p1504,20150212,4864,4864,0,0,0,4864,4864,0,0,0,0,4
115,p1504,20150213,4864,4864,0,0,0,4864,4864,0,0,0,0,4
116,p1504,20150216,4864,4864,0,0,0,4864,4864,0,0,0,0,4
117,p1504,20150217,4864,4864,0,0,0,4864,4864,0,0,0,0,4
118,p1504,20150225,4864,4864,4800,4800,4800,4800,4800,-64,-64,4,192000,0
119,p1504,20150226,4800,4800,0,0,0,4800,4800,0,0,0,0,0
120,p1504,20150227,4800,4800,0,0,0,4768,4768,-32,-32,0,0,0
121,p1504,20150302,4768,4768,0,0,0,4768,4768,0,0,0,0,0
122,p1504,20150303,4768,4768,0,0,0,4768,4768,0,0,0,0,0
123,p1504,20150304,4768,4768,0,0,0,4768,4768,0,0,0,0,0
124,p1504,20150305,4768,4768,0,0,0,4768,4768,0,0,0,0,0
125,p1504,20150306,4768,4768,0,0,0,4768,4768,0,0,0,0,0
126,p1504,20150309,4768,4768,0,0,0,4768,4768,0,0,0,0,0
127,p1504,20150310,4768,4768,0,0,0,4768,4768,0,0,0,0,0
128,p1504,20150311,4768,4768,0,0,0,4768,4768,0,0,0,0,0
129,p1504,20150312,4768,4768,0,0,0,4768,4768,0,0,0,0,0
130,p1504,20150313,4768,4768,0,0,0,4768,4768,0,0,0,0,0
131,p1504,20150316,4768,4768,4958,4958,4780,4788,4852,20,84,10,485360,0
132,p1504,20150317,4788,4852,0,0,0,4852,4852,0,0,0,0,0
133,p1504,20150318,4852,4852,0,0,0,4852,4852,0,0,0,0,0
134,p1504,20150319,4852,4852,0,0,0,4852,4852,0,0,0,0,0
135,p1504,20150320,4852,4852,0,0,0,4852,4852,0,0,0,0,0
