,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,j1501,20150105,1133,1113,1125,1156,1125,1137,1147,24,34,12336,1415285000,29182
2,j1501,20150106,1137,1147,1139,1155,1132,1152,1147,5,0,5522,633491200,26362
3,j1501,20150107,1152,1147,1149,1181,1149,1169,1166,22,19,4898,571559800,23410
4,j1501,20150108,1169,1166,1174,1195,1163,1177,1175,11,9,2116,248631200,22596
5,j1501,20150109,1177,1175,1179,1193,1176,1190,1184,15,9,3050,361314600,20328
6,j1501,20150112,1190,1184,1190,1200,1189,1189,1195,5,11,4220,504406400,16906
7,j1501,20150113,1189,1195,1189,1193,1185,1192,1190,-3,-5,1430,170261400,15898
8,j1501,20150114,1192,1190,1192,1195,1190,1191,1190,1,0,2052,244240600,15474
9,j1501,20150115,1191,1190,1193,1210,1168,1168,1199,-22,9,2372,284496600,14040
10,j1501,20150116,1168,1199,1190,1191,1128,1128,1167,-71,-32,3018,355091200,0
11,j1502,20150105,1045,1045,1030,1030,1030,1030,1030,-15,-15,10,1030000,76
12,j1502,20150106,1030,1030,1034,1036,1034,1036,1035,6,5,6,621000,82
13,j1502,20150107,1036,1035,1014,1039,1014,1030,1023,-5,-12,130,13311400,86
14,j1502,20150108,1030,1023,1053,1053,1031,1048,1038,25,15,100,10380200,104
15,j1502,20150109,1048,1038,0,0,0,1038,1038,0,0,0,0,104
16,j1502,20150112,1038,1038,0,0,0,1030,1030,-8,-8,0,0,104
17,j1502,20150113,1030,1030,1024,1024,1024,1024,1024,-6,-6,4,409600,100
18,j1502,20150114,1024,1024,1033,1033,1032,1032,1032,8,8,10,1032800,110
19,j1502,20150115,1032,1032,1020,1046,1020,1046,1033,14,1,4,413200,110
20,j1502,20150116,1046,1033,1032,1047,1032,1047,1039,14,6,4,415800,110
21,j1502,20150119,1047,1039,1044,1044,1031,1031,1038,-8,-1,12,1245600,106
22,j1502,20150120,1031,1038,1029,1032,1029,1032,1030,-6,-8,4,412200,106
23,j1502,20150121,1032,1030,0,0,0,1030,1030,0,0,0,0,106
24,j1502,20150122,1030,1030,1047,1048,1047,1047,1047,17,17,18,1884800,96
25,j1502,20150123,1047,1047,1041,1046,1041,1046,1042,-1,-5,8,834000,88
26,j1502,20150126,1046,1042,1045,1046,1035,1035,1045,-7,3,64,6689600,24
27,j1502,20150127,1035,1045,0,0,0,1045,1045,0,0,0,0,24
28,j1502,20150128,1045,1045,1040,1040,1040,1040,1040,-5,-5,2,208000,24
29,j1502,20150129,1040,1040,1045,1045,1037,1044,1040,4,0,16,1664600,16
30,j1502,20150130,1044,1040,1034,1038,1033,1033,1034,-7,-6,16,1655600,0
31,j1502,20150202,1033,1034,0,0,0,1034,1034,0,0,0,0,0
32,j1502,20150203,1034,1034,0,0,0,1034,1034,0,0,0,0,0
33,j1502,20150204,1034,1034,0,0,0,1034,1034,0,0,0,0,0
34,j1502,20150205,1034,1034,0,0,0,1034,1034,0,0,0,0,0
35,j1502,20150206,1034,1034,0,0,0,1034,1034,0,0,0,0,0
36,j1502,20150209,1034,1034,0,0,0,1034,1034,0,0,0,0,0
37,j1502,20150210,1034,1034,0,0,0,1034,1034,0,0,0,0,0
38,j1502,20150211,1034,1034,0,0,0,1034,1034,0,0,0,0,0
39,j1502,20150212,1034,1034,0,0,0,1034,1034,0,0,0,0,0
40,j1502,20150213,1034,1034,0,0,0,1034,1034,0,0,0,0,0
41,j1503,20150105,1055,1055,0,0,0,1055,1055,0,0,0,0,26
42,j1503,20150106,1055,1055,1055,1055,1055,1055,1055,0,0,2,211000,26
43,j1503,20150107,1055,1055,0,0,0,1043,1043,-12,-12,0,0,26
44,j1503,20150108,1043,1043,0,0,0,1043,1043,0,0,0,0,26
45,j1503,20150109,1043,1043,0,0,0,1043,1043,0,0,0,0,26
46,j1503,20150112,1043,1043,0,0,0,1043,1043,0,0,0,0,26
47,j1503,20150113,1043,1043,0,0,0,1043,1043,0,0,0,0,26
48,j1503,20150114,1043,1043,0,0,0,1043,1043,0,0,0,0,26
49,j1503,20150115,1043,1043,1033,1033,1033,1033,1033,-10,-10,64,6611200,28
50,j1503,20150116,1033,1033,1015,1020,1014,1020,1016,-13,-17,16,1625800,24
51,j1503,20150119,1020,1016,1029,1031,1028,1031,1029,15,13,20,2059200,6
52,j1503,20150120,1031,1029,0,0,0,1029,1029,0,0,0,0,6
53,j1503,20150121,1029,1029,0,0,0,1029,1029,0,0,0,0,6
