,ºÏÔ¼,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û,Ç°½áËã¼Û,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,½áËã¼Û,ÕÇµø1,ÕÇµø2,³É½»Á¿,³É½»½ğ¶î,³Ö²ÖÁ¿
1,jm1501,20150105,808,808,809,810,800,810,806,2,-2,708,34254840,8334
2,jm1501,20150106,810,806,810,810,810,810,810,4,4,382,18565200,8030
3,jm1501,20150107,810,810,810,814,810,814,812,4,2,1120,54580800,7032
4,jm1501,20150108,814,812,815,815,782,782,813,-30,1,208,10155360,6828
5,jm1501,20150109,782,813,814,815,814,815,814,2,1,680,33251400,6154
6,jm1501,20150112,815,814,814,814,814,814,814,0,0,664,32429760,6154
7,jm1501,20150113,814,814,0,0,0,814,814,0,0,0,0,6154
8,jm1501,20150114,814,814,790,790,785,785,787,-29,-27,14,661200,6140
9,jm1501,20150115,785,787,814,814,814,814,814,27,27,252,12307680,5888
10,jm1501,20150116,814,814,815,816,807,807,811,-7,-3,1688,82150080,0
11,jm1502,20150105,780,780,0,0,0,779,779,-1,-1,0,0,2
12,jm1502,20150106,779,779,0,0,0,782,782,3,3,0,0,2
13,jm1502,20150107,782,782,0,0,0,783,783,1,1,0,0,2
14,jm1502,20150108,783,783,0,0,0,783,783,0,0,0,0,2
15,jm1502,20150109,783,783,0,0,0,783,783,0,0,0,0,2
16,jm1502,20150112,783,783,0,0,0,783,783,0,0,0,0,2
17,jm1502,20150113,783,783,0,0,0,783,783,0,0,0,0,2
18,jm1502,20150114,783,783,0,0,0,707,707,-76,-76,0,0,2
19,jm1502,20150115,707,707,713,713,713,713,713,6,6,2,85560,0
20,jm1502,20150116,713,713,0,0,0,711,711,-2,-2,0,0,0
21,jm1502,20150119,711,711,0,0,0,711,711,0,0,0,0,0
22,jm1502,20150120,711,711,0,0,0,711,711,0,0,0,0,0
23,jm1502,20150121,711,711,0,0,0,711,711,0,0,0,0,0
24,jm1502,20150122,711,711,0,0,0,711,711,0,0,0,0,0
25,jm1502,20150123,711,711,0,0,0,711,711,0,0,0,0,0
26,jm1502,20150126,711,711,0,0,0,711,711,0,0,0,0,0
27,jm1502,20150127,711,711,0,0,0,711,711,0,0,0,0,0
28,jm1502,20150128,711,711,0,0,0,711,711,0,0,0,0,0
29,jm1502,20150129,711,711,0,0,0,711,711,0,0,0,0,0
30,jm1502,20150130,711,711,0,0,0,711,711,0,0,0,0,0
31,jm1502,20150202,711,711,0,0,0,711,711,0,0,0,0,0
32,jm1502,20150203,711,711,0,0,0,711,711,0,0,0,0,0
33,jm1502,20150204,711,711,0,0,0,711,711,0,0,0,0,0
34,jm1502,20150205,711,711,0,0,0,711,711,0,0,0,0,0
35,jm1502,20150206,711,711,0,0,0,711,711,0,0,0,0,0
36,jm1502,20150209,711,711,0,0,0,711,711,0,0,0,0,0
37,jm1502,20150210,711,711,0,0,0,711,711,0,0,0,0,0
38,jm1502,20150211,711,711,0,0,0,711,711,0,0,0,0,0
39,jm1502,20150212,711,711,0,0,0,711,711,0,0,0,0,0
40,jm1502,20150213,711,711,0,0,0,711,711,0,0,0,0,0
41,jm1503,20150105,780,780,0,0,0,779,779,-1,-1,0,0,8
42,jm1503,20150106,779,779,0,0,0,782,782,3,3,0,0,8
43,jm1503,20150107,782,782,0,0,0,783,783,1,1,0,0,8
44,jm1503,20150108,783,783,774,774,756,756,765,-27,-18,4,183600,8
45,jm1503,20150109,756,765,0,0,0,765,765,0,0,0,0,8
46,jm1503,20150112,765,765,0,0,0,764,764,-1,-1,0,0,8
47,jm1503,20150113,764,764,0,0,0,764,764,0,0,0,0,8
48,jm1503,20150114,764,764,0,0,0,739,739,-25,-25,0,0,8
49,jm1503,20150115,739,739,737,737,737,737,737,-2,-2,4,176880,10
50,jm1503,20150116,737,737,0,0,0,735,735,-2,-2,0,0,10
51,jm1503,20150119,735,735,757,757,757,757,757,22,22,4,181680,6
52,jm1503,20150120,757,757,0,0,0,757,757,0,0,0,0,6
53,jm1503,20150121,757,757,0,0,0,757,757,0,0,0,0,6
54,jm1503,20150122,757,757,0,0,0,757,757,0,0,0,0,6
55,jm1503,20150123,757,757,0,0,0,757,757,0,0,0,0,6
56,jm1503,20150126,757,757,0,0,0,757,757,0,0,0,0,6
57,jm1503,20150127,757,757,0,0,0,757,757,0,0,0,0,6
58,jm1503,20150128,757,757,0,0,0,757,757,0,0,0,0,6
59,jm1503,20150129,757,757,0,0,0,757,757,0,0,0,0,6
60,jm1503,20150130,757,757,0,0,0,757,757,0,0,0,0,6
61,jm1503,20150202,757,757,0,0,0,757,757,0,0,0,0,6
62,jm1503,20150203,757,757,0,0,0,757,757,0,0,0,0,6
63,jm1503,20150204,757,757,0,0,0,757,757,0,0,0,0,6
64,jm1503,20150205,757,757,761,761,755,755,756,-2,-1,8,363120,2
65,jm1503,20150206,755,756,0,0,0,756,756,0,0,0,0,2
66,jm1503,20150209,756,756,0,0,0,756,756,0,0,0,0,2
67,jm1503,20150210,756,756,0,0,0,756,756,0,0,0,0,2
68,jm1503,20150211,756,756,0,0,0,756,756,0,0,0,0,2
69,jm1503,20150212,756,756,0,0,0,756,756,0,0,0,0,2
70,jm1503,20150213,756,756,0,0,0,756,756,0,0,0,0,2
71,jm1503,20150216,756,756,0,0,0,756,756,0,0,0,0,2
72,jm1503,20150217,756,756,773,773,773,773,773,17,17,2,92760,0
73,jm1503,20150225,773,773,0,0,0,773,773,0,0,0,0,0
74,jm1503,20150226,773,773,0,0,0,773,773,0,0,0,0,0
75,jm1503,20150227,773,773,0,0,0,773,773,0,0,0,0,0
76,jm1503,20150302,773,773,0,0,0,773,773,0,0,0,0,0
77,jm1503,20150303,773,773,0,0,0,773,773,0,0,0,0,0
78,jm1503,20150304,773,773,0,0,0,773,773,0,0,0,0,0
79,jm1503,20150305,773,773,0,0,0,773,773,0,0,0,0,0
80,jm1503,20150306,773,773,0,0,0,773,773,0,0,0,0,0
81,jm1503,20150309,773,773,0,0,0,773,773,0,0,0,0,0
82,jm1503,20150310,773,773,0,0,0,773,773,0,0,0,0,0
83,jm1503,20150311,773,773,0,0,0,773,773,0,0,0,0,0
84,jm1503,20150312,773,773,0,0,0,773,773,0,0,0,0,0
85,jm1503,20150313,773,773,0,0,0,773,773,0,0,0,0,0
86,jm1504,20150105,736,735,0,0,0,735,735,0,0,0,0,6
87,jm1504,20150106,735,735,0,0,0,737,737,2,2,0,0,6
88,jm1504,20150107,737,737,0,0,0,737,737,0,0,0,0,6
89,jm1504,20150108,737,737,0,0,0,737,737,0,0,0,0,6
90,jm1504,20150109,737,737,731,731,731,731,731,-6,-6,4,175440,8
91,jm1504,20150112,731,731,729,729,729,729,729,-2,-2,2,87480,8
92,jm1504,20150113,729,729,729,729,719,720,722,-9,-7,8,346560,4
93,jm1504,20150114,720,722,0,0,0,722,722,0,0,0,0,4
94,jm1504,20150115,722,722,0,0,0,721,721,-1,-1,0,0,4
95,jm1504,20150116,721,721,0,0,0,719,719,-2,-2,0,0,4
96,jm1504,20150119,719,719,729,729,729,729,729,10,10,2,87480,2
97,jm1504,20150120,729,729,727,727,727,727,727,-2,-2,2,87240,4
98,jm1504,20150121,727,727,0,0,0,727,727,0,0,0,0,4
99,jm1504,20150122,727,727,0,0,0,726,726,-1,-1,0,0,4
100,jm1504,20150123,726,726,0,0,0,726,726,0,0,0,0,4
101,jm1504,20150126,726,726,0,0,0,726,726,0,0,0,0,4
102,jm1504,20150127,726,726,0,0,0,726,726,0,0,0,0,4
103,jm1504,20150128,726,726,0,0,0,726,726,0,0,0,0,4
104,jm1504,20150129,726,726,0,0,0,726,726,0,0,0,0,4
105,jm1504,20150130,726,726,0,0,0,726,726,0,0,0,0,4
106,jm1504,20150202,726,726,0,0,0,726,726,0,0,0,0,4
107,jm1504,20150203,726,726,739,739,726,726,732,0,6,4,175800,2
108,jm1504,20150204,726,732,0,0,0,732,732,0,0,0,0,2
109,jm1504,20150205,732,732,0,0,0,732,732,0,0,0,0,2
110,jm1504,20150206,732,732,0,0,0,732,732,0,0,0,0,2
111,jm1504,20150209,732,732,0,0,0,732,732,0,0,0,0,2
112,jm1504,20150210,732,732,0,0,0,732,732,0,0,0,0,2
113,jm1504,20150211,732,732,0,0,0,732,732,0,0,0,0,2
114,jm1504,20150212,732,732,0,0,0,732,732,0,0,0,0,2
115,jm1504,20150213,732,732,0,0,0,732,732,0,0,0,0,2
116,jm1504,20150216,732,732,0,0,0,733,733,1,1,0,0,2
117,jm1504,20150217,733,733,0,0,0,749,749,16,16,0,0,2
118,jm1504,20150225,749,749,0,0,0,738,738,-11,-11,0,0,2
119,jm1504,20150226,738,738,0,0,0,738,738,0,0,0,0,2
120,jm1504,20150227,738,738,0,0,0,738,738,0,0,0,0,2
121,jm1504,20150302,738,738,0,0,0,738,738,0,0,0,0,2
122,jm1504,20150303,738,738,0,0,0,738,738,0,0,0,0,2
123,jm1504,20150304,738,738,0,0,0,738,738,0,0,0,0,2
124,jm1504,20150305,738,738,0,0,0,738,738,0,0,0,0,2
125,jm1504,20150306,738,738,0,0,0,738,738,0,0,0,0,2
126,jm1504,20150309,738,738,0,0,0,738,738,0,0,0,0,2
127,jm1504,20150310,738,738,0,0,0,738,738,0,0,0,0,2
128,jm1504,20150311,738,738,0,0,0,738,738,0,0,0,0,2
129,jm1504,20150312,738,738,0,0,0,738,738,0,0,0,0,2
130,jm1504,20150313,738,738,0,0,0,738,738,0,0,0,0,2
131,jm1504,20150316,738,738,767,767,719,730,745,-8,7,8,357960,2
132,jm1504,20150317,730,745,0,0,0,745,745,0,0,0,0,2
133,jm1504,20150318,745,745,0,0,0,745,745,0,0,0,0,2
134,jm1504,20150319,745,745,0,0,0,745,745,0,0,0,0,2
135,jm1504,20150320,745,745,716,716,716,716,716,-29,-29,2,85920,2
136,jm1504,20150323,716,716,0,0,0,716,716,0,0,0,0,2
137,jm1504,20150324,716,716,0,0,0,716,716,0,0,0,0,2
138,jm1504,20150325,716,716,0,0,0,716,716,0,0,0,0,2
139,jm1504,20150326,716,716,689,689,689,689,689,-27,-27,2,82680,2
140,jm1504,20150327,689,689,689,689,689,689,689,0,0,2,82680,0
141,jm1504,20150330,689,689,0,0,0,689,689,0,0,0,0,0
142,jm1504,20150331,689,689,0,0,0,689,689,0,0,0,0,0
143,jm1504,20150401,689,689,0,0,0,689,689,0,0,0,0,0
144,jm1504,20150402,689,689,0,0,0,689,689,0,0,0,0,0
145,jm1504,20150403,689,689,0,0,0,689,689,0,0,0,0,0
146,jm1504,20150407,689,689,0,0,0,689,689,0,0,0,0,0
147,jm1504,20150408,689,689,0,0,0,689,689,0,0,0,0,0
148,jm1504,20150409,689,689,0,0,0,689,689,0,0,0,0,0
149,jm1504,20150410,689,689,0,0,0,689,689,0,0,0,0,0
150,jm1504,20150413,689,689,0,0,0,689,689,0,0,0,0,0
151,jm1504,20150414,689,689,0,0,0,689,689,0,0,0,0,0
152,jm1504,20150415,689,689,0,0,0,689,689,0,0,0,0,0
153,jm1505,20150105,740,737,736,744,725,731,733,-6,-4,117480,5166960360,159942
154,jm1505,20150106,731,733,730,756,727,744,744,11,11,290926,12995425560,173598
155,jm1505,20150107,744,744,745,745,736,740,740,-4,-4,118104,5247907200,164106
