,ºÏÔ¼,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û,Ç°½áËã¼Û,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,½áËã¼Û,ÕÇµø1,ÕÇµø2,³É½»Á¿,³É½»½ğ¶î,³Ö²ÖÁ¿
1,cs1503,20150105,2615,2622,2610,2613,2610,2613,2610,-9,-12,24,626460,132
2,cs1503,20150106,2613,2610,2617,2617,2560,2588,2586,-22,-24,8,206900,130
3,cs1503,20150107,2588,2586,2627,2627,2585,2585,2606,-1,20,4,104240,132
4,cs1503,20150108,2585,2606,0,0,0,2606,2606,0,0,0,0,132
5,cs1503,20150109,2606,2606,2536,2612,2536,2605,2595,-1,-11,14,363340,130
6,cs1503,20150112,2605,2595,0,0,0,2595,2595,0,0,0,0,130
7,cs1503,20150113,2595,2595,0,0,0,2595,2595,0,0,0,0,130
8,cs1503,20150114,2595,2595,2626,2626,2581,2581,2588,-14,-7,14,362420,126
9,cs1503,20150115,2581,2588,2526,2588,2526,2588,2557,0,-31,4,102280,126
10,cs1503,20150116,2588,2557,0,0,0,2561,2561,4,4,0,0,126
11,cs1503,20150119,2561,2561,2650,2662,2608,2610,2632,49,71,8,210600,130
12,cs1503,20150120,2610,2632,2601,2601,2590,2590,2595,-42,-37,12,311420,120
13,cs1503,20150121,2590,2595,2656,2698,2492,2626,2574,31,-21,20,514800,120
14,cs1503,20150122,2626,2574,0,0,0,2574,2574,0,0,0,0,120
15,cs1503,20150123,2574,2574,0,0,0,2580,2580,6,6,0,0,120
16,cs1503,20150126,2580,2580,0,0,0,2580,2580,0,0,0,0,120
17,cs1503,20150127,2580,2580,2643,2645,2550,2640,2619,60,39,36,943040,126
18,cs1503,20150128,2640,2619,2667,2673,2666,2673,2668,54,49,8,213460,124
19,cs1503,20150129,2673,2668,2726,2726,2726,2726,2726,58,58,4,109040,124
20,cs1503,20150130,2726,2726,0,0,0,2726,2726,0,0,0,0,124
21,cs1503,20150202,2726,2726,0,0,0,2726,2726,0,0,0,0,124
22,cs1503,20150203,2726,2726,0,0,0,2726,2726,0,0,0,0,124
23,cs1503,20150204,2726,2726,0,0,0,2726,2726,0,0,0,0,124
24,cs1503,20150205,2726,2726,2733,2799,2698,2699,2740,-27,14,16,438460,120
25,cs1503,20150206,2699,2740,0,0,0,2740,2740,0,0,0,0,120
26,cs1503,20150209,2740,2740,0,0,0,2740,2740,0,0,0,0,120
27,cs1503,20150210,2740,2740,2776,2776,2631,2756,2715,16,-25,10,271580,120
