   ,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,l1501,20150105,9860,9815,9615,9780,9475,9570,9660,-245,-155,5494,265436500,2982
2,l1501,20150106,9570,9660,9515,9515,9325,9325,9420,-335,-240,1148,54071500,1834
3,l1501,20150107,9325,9420,9330,9330,9230,9250,9290,-170,-130,226,10499850,1608
4,l1501,20150108,9250,9290,9200,9300,9200,9300,9235,10,-55,32,1477650,1576
5,l1501,20150109,9300,9235,9200,9250,9065,9065,9160,-170,-75,246,11266800,1430
6,l1501,20150112,9065,9160,9080,9080,9020,9025,9040,-135,-120,678,30648300,1360
7,l1501,20150113,9025,9040,9000,9000,9000,9000,9000,-40,-40,8,360000,1352
8,l1501,20150114,9000,9000,0,0,0,9000,9000,0,0,0,0,1352
9,l1501,20150115,9000,9000,0,0,0,9000,9000,0,0,0,0,1352
10,l1501,20150116,9000,9000,8640,8640,8640,8640,9540,-360,540,14,658800,0
11,l1502,20150105,9210,9210,8955,9840,8950,9840,9245,630,35,6,277450,18
12,l1502,20150106,9840,9245,0,0,0,9245,9245,0,0,0,0,18
13,l1502,20150107,9245,9245,8920,9400,8920,9400,9020,155,-225,28,1263350,14
14,l1502,20150108,9400,9020,0,0,0,9020,9020,0,0,0,0,14
15,l1502,20150109,9020,9020,0,0,0,8950,8950,-70,-70,0,0,14
16,l1502,20150112,8950,8950,0,0,0,8950,8950,0,0,0,0,14
17,l1502,20150113,8950,8950,0,0,0,8920,8920,-30,-30,0,0,14
18,l1502,20150114,8920,8920,0,0,0,8920,8920,0,0,0,0,14
19,l1502,20150115,8920,8920,8800,8800,8790,8790,8790,-130,-130,6,263800,12
20,l1502,20150116,8790,8790,8790,8790,8790,8790,8790,0,0,4,175800,8
21,l1502,20150119,8790,8790,0,0,0,8790,8790,0,0,0,0,8
22,l1502,20150120,8790,8790,0,0,0,8790,8790,0,0,0,0,8
23,l1502,20150121,8790,8790,0,0,0,9140,9140,350,350,0,0,8
24,l1502,20150122,9140,9140,9250,9250,9250,9250,9250,110,110,4,185000,8
25,l1502,20150123,9250,9250,9000,9000,8900,8900,8950,-350,-300,4,179000,4
26,l1502,20150126,8900,8950,0,0,0,8950,8950,0,0,0,0,4
27,l1502,20150127,8950,8950,0,0,0,8950,8950,0,0,0,0,4
28,l1502,20150128,8950,8950,0,0,0,8950,8950,0,0,0,0,4
29,l1502,20150129,8950,8950,0,0,0,8950,8950,0,0,0,0,4
30,l1502,20150130,8950,8950,0,0,0,8950,8950,0,0,0,0,4
31,l1502,20150202,8950,8950,0,0,0,8415,8415,-535,-535,0,0,4
32,l1502,20150203,8415,8415,7915,7915,7915,7915,7915,-500,-500,4,158300,4
33,l1502,20150204,7915,7915,0,0,0,7915,7915,0,0,0,0,4
34,l1502,20150205,7915,7915,0,0,0,7915,7915,0,0,0,0,4
35,l1502,20150206,7915,7915,0,0,0,7915,7915,0,0,0,0,4
36,l1502,20150209,7915,7915,0,0,0,7915,7915,0,0,0,0,4
37,l1502,20150210,7915,7915,0,0,0,7915,7915,0,0,0,0,4
38,l1502,20150211,7915,7915,0,0,0,7915,7915,0,0,0,0,4
39,l1502,20150212,7915,7915,0,0,0,7915,7915,0,0,0,0,4
40,l1502,20150213,7915,7915,0,0,0,7915,7915,0,0,0,0,0
41,l1503,20150105,9050,9050,8655,8860,8535,8535,8645,-515,-405,24,1037650,20
42,l1503,20150106,8535,8645,8565,8565,8565,8565,8565,-80,-80,2,85650,18
43,l1503,20150107,8565,8565,0,0,0,8565,8565,0,0,0,0,18
44,l1503,20150108,8565,8565,0,0,0,8565,8565,0,0,0,0,18
45,l1503,20150109,8565,8565,0,0,0,8500,8500,-65,-65,0,0,18
46,l1503,20150112,8500,8500,8220,8325,8200,8205,8225,-295,-275,12,493700,20
47,l1503,20150113,8205,8225,8200,8200,8105,8105,8150,-120,-75,4,163050,22
48,l1503,20150114,8105,8150,8185,8185,8105,8105,8145,-45,-5,4,162900,26
49,l1503,20150115,8105,8145,8190,8470,8190,8470,8340,325,195,12,500450,24
50,l1503,20150116,8470,8340,8535,8590,8500,8590,8540,250,200,6,256250,20
51,l1503,20150119,8590,8540,8600,8680,8600,8680,8650,140,110,12,519150,16
