,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,v1501,20150105,5755,5620,5740,5750,5740,5750,5745,130,125,8,229800,1558
2,v1501,20150106,5750,5745,0,0,0,5745,5745,0,0,0,0,1558
3,v1501,20150107,5745,5745,0,0,0,5655,5655,-90,-90,0,0,1558
4,v1501,20150108,5655,5655,0,0,0,5640,5640,-15,-15,0,0,1558
5,v1501,20150109,5640,5640,0,0,0,5505,5505,-135,-135,0,0,1558
6,v1501,20150112,5505,5505,5480,5480,5450,5450,5465,-55,-40,4,109300,1554
7,v1501,20150113,5450,5465,0,0,0,5465,5465,0,0,0,0,1554
8,v1501,20150114,5465,5465,5415,5415,5415,5415,5415,-50,-50,14,379050,1540
9,v1501,20150115,5415,5415,0,0,0,5415,5415,0,0,0,0,1540
10,v1501,20150116,5415,5415,5400,5400,5400,5400,5505,-15,90,4,108000,0
11,v1502,20150105,5610,5610,0,0,0,5730,5730,120,120,0,0,0
12,v1502,20150106,5730,5730,0,0,0,5730,5730,0,0,0,0,0
13,v1502,20150107,5730,5730,0,0,0,5730,5730,0,0,0,0,0
14,v1502,20150108,5730,5730,0,0,0,5730,5730,0,0,0,0,0
15,v1502,20150109,5730,5730,0,0,0,5730,5730,0,0,0,0,0
16,v1502,20150112,5730,5730,0,0,0,5690,5690,-40,-40,0,0,0
17,v1502,20150113,5690,5690,0,0,0,5690,5690,0,0,0,0,0
18,v1502,20150114,5690,5690,0,0,0,5640,5640,-50,-50,0,0,0
19,v1502,20150115,5640,5640,0,0,0,5640,5640,0,0,0,0,0
20,v1502,20150116,5640,5640,0,0,0,5730,5730,90,90,0,0,0
21,v1502,20150119,5730,5730,0,0,0,5730,5730,0,0,0,0,0
22,v1502,20150120,5730,5730,0,0,0,5730,5730,0,0,0,0,0
23,v1502,20150121,5730,5730,0,0,0,5730,5730,0,0,0,0,0
24,v1502,20150122,5730,5730,0,0,0,5730,5730,0,0,0,0,0
25,v1502,20150123,5730,5730,0,0,0,5730,5730,0,0,0,0,0
26,v1502,20150126,5730,5730,0,0,0,5730,5730,0,0,0,0,0
27,v1502,20150127,5730,5730,0,0,0,5730,5730,0,0,0,0,0
28,v1502,20150128,5730,5730,0,0,0,5730,5730,0,0,0,0,0
29,v1502,20150129,5730,5730,0,0,0,5730,5730,0,0,0,0,0
30,v1502,20150130,5730,5730,0,0,0,5730,5730,0,0,0,0,0
31,v1502,20150202,5730,5730,0,0,0,5730,5730,0,0,0,0,0
32,v1502,20150203,5730,5730,0,0,0,5730,5730,0,0,0,0,0
33,v1502,20150204,5730,5730,0,0,0,5730,5730,0,0,0,0,0
34,v1502,20150205,5730,5730,0,0,0,5730,5730,0,0,0,0,0
35,v1502,20150206,5730,5730,0,0,0,5730,5730,0,0,0,0,0
36,v1502,20150209,5730,5730,0,0,0,5730,5730,0,0,0,0,0
37,v1502,20150210,5730,5730,0,0,0,5730,5730,0,0,0,0,0
38,v1502,20150211,5730,5730,0,0,0,5730,5730,0,0,0,0,0
39,v1502,20150212,5730,5730,0,0,0,5730,5730,0,0,0,0,0
40,v1502,20150213,5730,5730,0,0,0,5730,5730,0,0,0,0,0
41,v1503,20150105,5345,5345,0,0,0,5460,5460,115,115,0,0,4
42,v1503,20150106,5460,5460,0,0,0,5460,5460,0,0,0,0,4
43,v1503,20150107,5460,5460,0,0,0,5460,5460,0,0,0,0,4
44,v1503,20150108,5460,5460,0,0,0,5460,5460,0,0,0,0,4
45,v1503,20150109,5460,5460,0,0,0,5460,5460,0,0,0,0,4
46,v1503,20150112,5460,5460,0,0,0,5425,5425,-35,-35,0,0,4
47,v1503,20150113,5425,5425,0,0,0,5425,5425,0,0,0,0,4
48,v1503,20150114,5425,5425,0,0,0,5380,5380,-45,-45,0,0,4
49,v1503,20150115,5380,5380,0,0,0,5380,5380,0,0,0,0,4
50,v1503,20150116,5380,5380,5175,5175,5175,5175,5175,-205,-205,2,51750,4
51,v1503,20150119,5175,5175,0,0,0,5175,5175,0,0,0,0,4
52,v1503,20150120,5175,5175,0,0,0,5175,5175,0,0,0,0,4
53,v1503,20150121,5175,5175,0,0,0,5175,5175,0,0,0,0,4
54,v1503,20150122,5175,5175,0,0,0,5175,5175,0,0,0,0,4
55,v1503,20150123,5175,5175,4990,4990,4990,4990,4990,-185,-185,2,49900,4
56,v1503,20150126,4990,4990,0,0,0,4990,4990,0,0,0,0,4
57,v1503,20150127,4990,4990,0,0,0,4990,4990,0,0,0,0,4
58,v1503,20150128,4990,4990,0,0,0,4990,4990,0,0,0,0,4
59,v1503,20150129,4990,4990,0,0,0,4990,4990,0,0,0,0,4
60,v1503,20150130,4990,4990,0,0,0,4990,4990,0,0,0,0,4
61,v1503,20150202,4990,4990,0,0,0,4990,4990,0,0,0,0,4
62,v1503,20150203,4990,4990,0,0,0,4990,4990,0,0,0,0,4
63,v1503,20150204,4990,4990,4990,4990,4990,4990,4990,0,0,2,49900,2
64,v1503,20150205,4990,4990,0,0,0,4990,4990,0,0,0,0,2
65,v1503,20150206,4990,4990,0,0,0,4990,4990,0,0,0,0,2
66,v1503,20150209,4990,4990,0,0,0,4990,4990,0,0,0,0,2
67,v1503,20150210,4990,4990,0,0,0,4990,4990,0,0,0,0,2
68,v1503,20150211,4990,4990,0,0,0,4990,4990,0,0,0,0,2
69,v1503,20150212,4990,4990,0,0,0,4990,4990,0,0,0,0,2
70,v1503,20150213,4990,4990,0,0,0,4990,4990,0,0,0,0,2
71,v1503,20150216,4990,4990,0,0,0,4990,4990,0,0,0,0,2
72,v1503,20150217,4990,4990,0,0,0,4990,4990,0,0,0,0,2
73,v1503,20150225,4990,4990,0,0,0,4990,4990,0,0,0,0,2
74,v1503,20150226,4990,4990,4990,4990,4990,4990,4990,0,0,2,49900,0
75,v1503,20150227,4990,4990,0,0,0,4990,4990,0,0,0,0,0
76,v1503,20150302,4990,4990,0,0,0,4990,4990,0,0,0,0,0
77,v1503,20150303,4990,4990,0,0,0,4990,4990,0,0,0,0,0
78,v1503,20150304,4990,4990,0,0,0,4990,4990,0,0,0,0,0
79,v1503,20150305,4990,4990,0,0,0,4990,4990,0,0,0,0,0
80,v1503,20150306,4990,4990,0,0,0,4990,4990,0,0,0,0,0
81,v1503,20150309,4990,4990,0,0,0,4990,4990,0,0,0,0,0
