,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,bb1501,20150105,141.8,140.8,149.2,149.2,149.2,149.2,149.2,8.4,8.4,752,56099200,4670
2,bb1501,20150106,149.2,149.2,161.1,161.1,151,152.15,159.8,2.95,10.6,2248,179621850,3154
3,bb1501,20150107,152.15,159.8,152,154.25,150.25,150.25,152.4,-9.55,-7.4,398,30330500,2828
4,bb1501,20150108,150.25,152.4,145.05,150.9,145.05,146.1,147.4,-6.3,-5,544,40104000,2828
5,bb1501,20150109,146.1,147.4,147,154.8,146.5,147.55,148.2,0.15,0.8,222,16454600,2824
6,bb1501,20150112,147.55,148.2,152.15,156,150,156,155,7.8,6.8,240,18604450,2774
7,bb1501,20150113,156,155,150.95,160,150.95,157,155.35,2,0.35,170,13206450,2706
8,bb1501,20150114,157,155.35,159,160.75,158.8,160.75,159.75,5.4,4.4,80,6390650,2644
9,bb1501,20150115,160.75,159.75,161.9,162.5,150.25,150.5,158.65,-9.25,-1.1,388,30786800,2406
10,bb1501,20150116,150.5,158.65,150,161.95,149.15,149.15,154.8,-9.5,-3.85,556,41767450,0
11,bb1502,20150105,132.95,129.4,131.5,134.85,128.4,128.5,130.85,-0.9,1.45,14726,963494500,9350
12,bb1502,20150106,128.5,130.85,127.6,130.95,127.6,129.7,129.55,-1.15,-1.3,8744,566501650,9344
13,bb1502,20150107,129.7,129.55,129,131.5,128.3,130.45,130.55,0.9,1,5970,389709400,9492
14,bb1502,20150108,130.45,130.55,131,131.6,128.4,129,129.9,-1.55,-0.65,5112,332075900,9348
15,bb1502,20150109,129,129.9,128.5,129.55,123.45,123.6,125.3,-6.3,-4.6,8082,506517600,8474
16,bb1502,20150112,123.6,125.3,122.4,123.8,120.1,121.4,121.65,-3.9,-3.65,6562,399219650,8706
17,bb1502,20150113,121.4,121.65,120.45,125.75,120.45,125.35,124.3,3.7,2.65,11556,718312250,9524
18,bb1502,20150114,125.35,124.3,125.1,125.1,118.1,118.1,120.85,-6.2,-3.45,8392,507246950,7762
19,bb1502,20150115,118.1,120.85,113.6,115.35,113.6,113.6,113.7,-7.25,-7.15,2260,128523100,7394
20,bb1502,20150116,113.6,113.7,104.65,109.4,104.65,104.85,107.1,-8.85,-6.6,24856,1331193500,5820
21,bb1502,20150119,104.85,107.1,105.6,111.4,104.05,106.15,107.2,-0.95,0.1,12608,675876750,5374
22,bb1502,20150120,106.15,107.2,105,107.2,102.1,103.25,104.4,-3.95,-2.8,10922,570149850,5446
23,bb1502,20150121,103.25,104.4,104.2,104.9,102.65,102.7,103.75,-1.7,-0.65,5704,295903450,5232
24,bb1502,20150122,102.7,103.75,103,106.85,102.5,103.85,105.1,0.1,1.35,8942,469906750,5190
25,bb1502,20150123,103.85,105.1,104.05,106.5,103.5,105.25,105.15,0.15,0.05,5886,309591600,4764
26,bb1502,20150126,105.25,105.15,105.15,105.75,102.55,102.65,103.55,-2.5,-1.6,3768,195176150,4658
27,bb1502,20150127,102.65,103.55,103,105.55,103,103.4,104.2,-0.15,0.65,3242,168932450,4146
28,bb1502,20150128,103.4,104.2,103.2,104.1,102.15,102.4,102.75,-1.8,-1.45,3904,200577550,3868
29,bb1502,20150129,102.4,102.75,102.9,103.4,101,101.4,101.75,-1.35,-1,4542,231116300,2878
30,bb1502,20150130,101.4,101.75,102.2,104.9,99.05,99.65,101.65,-2.1,-0.1,7250,368622250,690
31,bb1502,20150202,99.65,101.65,99.3,100.95,99.3,100.35,100.45,-1.3,-1.2,222,11150500,676
32,bb1502,20150203,100.35,100.45,100.3,100.85,100.3,100.45,100.55,0,0.1,96,4827400,712
33,bb1502,20150204,100.45,100.55,100.2,100.8,99.5,100.8,100.3,0.25,-0.25,32,1605000,696
34,bb1502,20150205,100.8,100.3,100,100.45,99.3,99.3,99.65,-1,-0.65,24,1196200,688
35,bb1502,20150206,99.3,99.65,99.2,99.2,97.1,97.1,97.85,-2.55,-1.8,80,3915200,638
36,bb1502,20150209,97.1,97.85,99.5,99.8,96.1,96.1,99.4,-1.75,1.55,38,1888700,602
37,bb1502,20150210,96.1,99.4,96,99,95.1,95.1,96.8,-4.3,-2.6,80,3873850,600
38,bb1502,20150211,95.1,96.8,95.1,96.1,94.7,95.8,95.45,-1,-1.35,156,7447800,576
39,bb1502,20150212,95.8,95.45,95,95,89.85,95,94.5,-0.45,-0.95,106,5008500,540
40,bb1502,20150213,95,94.5,94,94.7,88.85,89,97.35,-5.5,2.85,94,4265200,0
41,bb1503,20150105,115.8,115.65,115.5,115.95,112,113,113.85,-2.65,-1.8,528,30063250,754
42,bb1503,20150106,113,113.85,113,113.8,112.75,113.2,113,-0.65,-0.85,258,14579600,864
43,bb1503,20150107,113.2,113,112.8,113.2,112.6,112.8,112.85,-0.2,-0.15,162,9143550,958
