   ,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,b1501,20150105,3634,3634,0,0,0,3634,3634,0,0,0,0,0
2,b1501,20150106,3634,3634,0,0,0,3634,3634,0,0,0,0,0
3,b1501,20150107,3634,3634,0,0,0,3634,3634,0,0,0,0,0
4,b1501,20150108,3634,3634,0,0,0,3634,3634,0,0,0,0,0
5,b1501,20150109,3634,3634,0,0,0,3634,3634,0,0,0,0,0
6,b1501,20150112,3634,3634,0,0,0,3634,3634,0,0,0,0,0
7,b1501,20150113,3634,3634,0,0,0,3634,3634,0,0,0,0,0
8,b1501,20150114,3634,3634,0,0,0,3634,3634,0,0,0,0,0
9,b1501,20150115,3634,3634,0,0,0,3634,3634,0,0,0,0,0
10,b1501,20150116,3634,3634,0,0,0,3634,3634,0,0,0,0,0
11,b1503,20150105,3189,3189,0,0,0,3189,3189,0,0,0,0,18
12,b1503,20150106,3189,3189,0,0,0,3189,3189,0,0,0,0,18
13,b1503,20150107,3189,3189,3316,3316,3298,3298,3307,109,118,4,132280,18
14,b1503,20150108,3298,3307,0,0,0,3320,3320,13,13,0,0,18
15,b1503,20150109,3320,3320,0,0,0,3320,3320,0,0,0,0,18
16,b1503,20150112,3320,3320,0,0,0,3320,3320,0,0,0,0,18
17,b1503,20150113,3320,3320,0,0,0,3320,3320,0,0,0,0,18
18,b1503,20150114,3320,3320,0,0,0,3320,3320,0,0,0,0,18
19,b1503,20150115,3320,3320,0,0,0,3320,3320,0,0,0,0,18
20,b1503,20150116,3320,3320,0,0,0,3320,3320,0,0,0,0,18
21,b1503,20150119,3320,3320,0,0,0,3320,3320,0,0,0,0,18
22,b1503,20150120,3320,3320,0,0,0,3320,3320,0,0,0,0,18
23,b1503,20150121,3320,3320,0,0,0,3320,3320,0,0,0,0,18
24,b1503,20150122,3320,3320,3281,3281,3281,3281,3281,-39,-39,2,65620,20
25,b1503,20150123,3281,3281,0,0,0,3281,3281,0,0,0,0,20
26,b1503,20150126,3281,3281,0,0,0,3281,3281,0,0,0,0,20
27,b1503,20150127,3281,3281,0,0,0,3281,3281,0,0,0,0,20
28,b1503,20150128,3281,3281,0,0,0,3281,3281,0,0,0,0,20
29,b1503,20150129,3281,3281,0,0,0,3281,3281,0,0,0,0,20
30,b1503,20150130,3281,3281,0,0,0,3281,3281,0,0,0,0,20
31,b1503,20150202,3281,3281,0,0,0,3281,3281,0,0,0,0,20
32,b1503,20150203,3281,3281,0,0,0,3281,3281,0,0,0,0,20
33,b1503,20150204,3281,3281,0,0,0,3281,3281,0,0,0,0,20
34,b1503,20150205,3281,3281,0,0,0,3281,3281,0,0,0,0,20
35,b1503,20150206,3281,3281,0,0,0,3281,3281,0,0,0,0,20
36,b1503,20150209,3281,3281,3250,3250,3250,3250,3250,-31,-31,2,65000,18
37,b1503,20150210,3250,3250,3250,3250,3250,3250,3250,0,0,2,65000,16
38,b1503,20150211,3250,3250,0,0,0,3250,3250,0,0,0,0,16
39,b1503,20150212,3250,3250,0,0,0,3250,3250,0,0,0,0,16
40,b1503,20150213,3250,3250,0,0,0,3250,3250,0,0,0,0,16
41,b1503,20150216,3250,3250,0,0,0,3250,3250,0,0,0,0,16
42,b1503,20150217,3250,3250,3120,3289,3120,3275,3201,25,-49,8,256100,12
43,b1503,20150225,3275,3201,3200,3200,3200,3200,3200,-1,-1,2,64000,10
44,b1503,20150226,3200,3200,3150,3150,3150,3150,3150,-50,-50,10,315000,0
45,b1503,20150227,3150,3150,0,0,0,3150,3150,0,0,0,0,0
46,b1503,20150302,3150,3150,0,0,0,3150,3150,0,0,0,0,0
47,b1503,20150303,3150,3150,0,0,0,3150,3150,0,0,0,0,0
48,b1503,20150304,3150,3150,0,0,0,3150,3150,0,0,0,0,0
49,b1503,20150305,3150,3150,0,0,0,3150,3150,0,0,0,0,0
50,b1503,20150306,3150,3150,0,0,0,3150,3150,0,0,0,0,0
51,b1503,20150309,3150,3150,0,0,0,3150,3150,0,0,0,0,0
52,b1503,20150310,3150,3150,0,0,0,3150,3150,0,0,0,0,0
53,b1503,20150311,3150,3150,0,0,0,3150,3150,0,0,0,0,0
54,b1503,20150312,3150,3150,0,0,0,3150,3150,0,0,0,0,0
55,b1503,20150313,3150,3150,0,0,0,3150,3150,0,0,0,0,0
56,b1505,20150105,3264,3260,3300,3300,3260,3260,3272,0,12,10,327200,322
57,b1505,20150106,3260,3272,3323,3324,3256,3265,3290,-7,18,16,526480,322
58,b1505,20150107,3265,3290,0,0,0,3290,3290,0,0,0,0,322
59,b1505,20150108,3290,3290,3290,3290,3290,3290,3290,0,0,4,131600,318
60,b1505,20150109,3290,3290,3310,3310,3252,3290,3282,0,-8,14,459480,320
61,b1505,20150112,3290,3282,0,0,0,3282,3282,0,0,0,0,320
62,b1505,20150113,3282,3282,3250,3280,3250,3254,3262,-28,-20,10,326260,318
63,b1505,20150114,3254,3262,3251,3252,3240,3240,3246,-22,-16,8,259680,310
64,b1505,20150115,3240,3246,3201,3248,3201,3248,3236,2,-10,8,258880,308
65,b1505,20150116,3248,3236,3242,3242,3200,3230,3224,-6,-12,100,3224860,334
66,b1505,20150119,3230,3224,3230,3235,3225,3225,3230,1,6,8,258400,342
67,b1505,20150120,3225,3230,3220,3220,3220,3220,3220,-10,-10,2,64400,344
68,b1505,20150121,3220,3220,3243,3243,3220,3220,3231,0,11,10,323120,346
69,b1505,20150122,3220,3231,3230,3230,3230,3230,3230,-1,-1,2,64600,344
70,b1505,20150123,3230,3230,0,0,0,3225,3225,-5,-5,0,0,344
71,b1505,20150126,3225,3225,0,0,0,3225,3225,0,0,0,0,344
72,b1505,20150127,3225,3225,3220,3220,3216,3216,3218,-9,-7,6,193100,342
73,b1505,20150128,3216,3218,3215,3215,3208,3208,3211,-10,-7,6,192660,338
74,b1505,20150129,3208,3211,3230,3230,3230,3230,3230,19,19,2,64600,336
75,b1505,20150130,3230,3230,3210,3213,3206,3208,3209,-22,-21,8,256740,336
76,b1505,20150202,3208,3209,3195,3195,3193,3193,3226,-16,17,6,193600,336
77,b1505,20150203,3193,3226,3171,3200,3171,3181,3187,-45,-39,10,318760,334
78,b1505,20150204,3181,3187,3195,3210,3195,3201,3203,14,16,14,448540,330
79,b1505,20150205,3201,3203,0,0,0,3203,3203,0,0,0,0,330
80,b1505,20150206,3203,3203,3225,3225,3200,3200,3208,-3,5,6,192520,330
81,b1505,20150209,3200,3208,0,0,0,3208,3208,0,0,0,0,330
82,b1505,20150210,3208,3208,3216,3216,3186,3205,3202,-3,-6,6,192140,324
83,b1505,20150211,3205,3202,3177,3210,3177,3200,3196,-2,-6,18,575320,320
84,b1505,20150212,3200,3196,0,0,0,3196,3196,0,0,0,0,320
85,b1505,20150213,3196,3196,3190,3205,3190,3205,3197,9,1,4,127900,316
86,b1505,20150216,3205,3197,0,0,0,3197,3197,0,0,0,0,316
87,b1505,20150217,3197,3197,3110,3189,3110,3189,3159,-8,-38,40,1263700,308
88,b1505,20150225,3189,3159,3198,3204,3166,3204,3191,45,32,14,446860,302
89,b1505,20150226,3204,3191,3186,3199,3176,3195,3187,4,-4,50,1593700,320
90,b1505,20150227,3195,3187,3194,3210,3181,3204,3196,17,9,42,1342640,314
91,b1505,20150302,3204,3196,3180,3270,3180,3209,3235,13,39,108,3494080,254
92,b1505,20150303,3209,3235,3200,3218,3195,3208,3204,-27,-31,18,576740,248
93,b1505,20150304,3208,3204,3195,3225,3195,3225,3216,21,12,44,1415260,266
94,b1505,20150305,3225,3216,3210,3215,3210,3213,3212,-3,-4,14,449780,256
95,b1505,20150306,3213,3212,3210,3212,3210,3212,3211,0,-1,6,192680,254
96,b1505,20150309,3212,3211,3210,3210,3210,3210,3210,-1,-1,4,128400,250
97,b1505,20150310,3210,3210,3205,3220,3205,3208,3210,-2,0,10,321060,248
98,b1505,20150311,3208,3210,3205,3225,3205,3225,3216,15,6,28,900600,246
99,b1505,20150312,3225,3216,3210,3220,3210,3215,3213,-1,-3,8,257100,242
100,b1505,20150313,3215,3213,3211,3215,3200,3215,3206,2,-7,32,1026000,230
101,b1505,20150316,3215,3206,3200,3200,3200,3200,3200,-6,-6,4,128000,226
102,b1505,20150317,3200,3200,3200,3200,3200,3200,3200,0,0,2,64000,224
103,b1505,20150318,3200,3200,3200,3210,3192,3192,3198,-8,-2,14,447820,228
104,b1505,20150319,3192,3198,3190,3194,3190,3194,3193,-4,-5,16,510960,230
105,b1505,20150320,3194,3193,3215,3215,3190,3205,3200,12,7,12,384000,236
106,b1505,20150323,3205,3200,3185,3205,3185,3205,3196,5,-4,6,191800,240
107,b1505,20150324,3205,3196,3200,3228,3200,3228,3209,32,13,12,385160,236
108,b1505,20150325,3228,3209,3187,3205,3187,3205,3196,-4,-13,4,127840,238
109,b1505,20150326,3205,3196,3201,3201,3201,3201,3201,5,5,2,64020,240
110,b1505,20150327,3201,3201,3209,3215,3209,3215,3213,14,12,10,321340,244
111,b1505,20150330,3215,3213,3203,3226,3203,3207,3213,-6,0,10,321360,242
112,b1505,20150331,3207,3213,3209,3229,3201,3205,3213,-8,0,22,707060,246
113,b1505,20150401,3205,3213,3224,3245,3179,3231,3226,18,13,64,2065020,242
114,b1505,20150402,3231,3226,3202,3239,3202,3239,3220,13,-6,4,128820,242
115,b1505,20150403,3239,3220,3202,3202,3202,3202,3202,-18,-18,2,64040,240
116,b1505,20150407,3202,3202,3204,3204,3204,3204,3204,2,2,2,64080,238
117,b1505,20150408,3204,3204,3235,3235,3180,3235,3220,31,16,8,257600,240
118,b1505,20150409,3235,3220,3215,3235,3202,3235,3210,15,-10,14,449480,228
119,b1505,20150410,3235,3210,3200,3245,3185,3223,3217,13,7,28,900840,210
120,b1505,20150413,3223,3217,3203,3205,3203,3205,3204,-12,-13,12,384480,198
121,b1505,20150414,3205,3204,3250,3260,3227,3227,3243,23,39,10,324380,188
122,b1505,20150415,3227,3243,3201,3275,3201,3230,3243,-13,0,16,518920,182
123,b1505,20150416,3230,3243,3231,3269,3231,3253,3253,10,10,66,2147060,120
124,b1505,20150417,3253,3253,0,0,0,3253,3253,0,0,0,0,120
125,b1505,20150420,3253,3253,3229,3229,3229,3229,3229,-24,-24,2,64580,118
126,b1505,20150421,3229,3229,3210,3280,3210,3280,3259,51,30,8,260780,116
127,b1505,20150422,3280,3259,0,0,0,3259,3259,0,0,0,0,116
128,b1505,20150423,3259,3259,0,0,0,3259,3259,0,0,0,0,116
129,b1505,20150424,3259,3259,0,0,0,3259,3259,0,0,0,0,116
130,b1505,20150427,3259,3259,0,0,0,3259,3259,0,0,0,0,116
131,b1505,20150428,3259,3259,3268,3285,3268,3285,3275,26,16,14,458580,104
132,b1505,20150429,3285,3275,3290,3305,3264,3300,3297,25,22,40,1319080,74
133,b1505,20150430,3300,3297,0,0,0,3297,3297,0,0,0,0,74
134,b1505,20150504,3297,3297,3100,3360,3100,3360,3273,63,-24,6,196400,68
135,b1505,20150505,3360,3273,0,0,0,3273,3273,0,0,0,0,68
136,b1505,20150506,3273,3273,3370,3390,3370,3390,3380,117,107,4,135200,64
137,b1505,20150507,3390,3380,3390,3390,3390,3390,3390,10,10,2,67800,62
138,b1505,20150508,3390,3390,3400,3400,3400,3400,3400,10,10,2,68000,60
139,b1505,20150511,3400,3400,3400,3450,3400,3450,3414,50,14,60,2048400,0
140,b1505,20150512,3450,3414,0,0,0,3414,3414,0,0,0,0,0
141,b1505,20150513,3414,3414,0,0,0,3414,3414,0,0,0,0,0
142,b1505,20150514,3414,3414,0,0,0,3414,3414,0,0,0,0,0
143,b1505,20150515,3414,3414,0,0,0,3399,3399,-15,-15,0,0,0
144,b1507,20150105,3284,3284,0,0,0,3296,3296,12,12,0,0,2
145,b1507,20150106,3296,3296,0,0,0,3314,3314,18,18,0,0,2
146,b1507,20150107,3314,3314,0,0,0,3314,3314,0,0,0,0,2
147,b1507,20150108,3314,3314,0,0,0,3314,3314,0,0,0,0,2
148,b1507,20150109,3314,3314,0,0,0,3306,3306,-8,-8,0,0,2
