   ,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,m1501,20150105,2993,3014,2986,2986,2931,2946,2948,-68,-66,6360,187544940,15948
2,m1501,20150106,2946,2948,2948,3005,2945,2991,2990,43,42,2920,87318800,13554
3,m1501,20150107,2991,2990,3000,3015,2991,3000,3003,10,13,2690,80796560,12350
4,m1501,20150108,3000,3003,3010,3015,2986,2986,3002,-17,-1,3756,112757260,10804
5,m1501,20150109,2986,3002,2986,2999,2984,2999,2985,-3,-17,1132,33797820,9672
6,m1501,20150112,2999,2985,3008,3008,2990,2990,2990,5,5,2534,75786960,9670
7,m1501,20150113,2990,2990,2975,2975,2975,2975,2975,-15,-15,22,654500,9648
8,m1501,20150114,2975,2975,2941,2950,2931,2931,2938,-44,-37,1800,52896000,8048
9,m1501,20150115,2931,2938,2911,2911,2911,2911,2911,-27,-27,2,58220,8046
10,m1501,20150116,2911,2911,2900,2900,2896,2896,2976,-15,65,162,4695360,0
11,m1503,20150105,3038,3046,2969,2989,2956,2956,2964,-90,-82,28,830080,822
12,m1503,20150106,2956,2964,2977,3017,2977,2987,3004,23,40,66,1982700,806
13,m1503,20150107,2987,3004,3031,3031,3000,3000,3015,-4,11,42,1266340,794
14,m1503,20150108,3000,3015,3001,3023,2992,3012,3006,-3,-9,148,4449760,762
15,m1503,20150109,3012,3006,3006,3006,2967,2971,2984,-35,-22,50,1492060,728
16,m1503,20150112,2971,2984,2966,2990,2956,2984,2978,0,-6,86,2561340,710
17,m1503,20150113,2984,2978,2953,3016,2930,2943,2949,-35,-29,80,2359500,730
18,m1503,20150114,2943,2949,2943,2949,2887,2888,2910,-61,-39,110,3201240,768
19,m1503,20150115,2888,2910,2890,2935,2890,2927,2920,17,10,68,1986140,770
20,m1503,20150116,2927,2920,2936,2947,2854,2860,2880,-60,-40,98,2822920,800
21,m1503,20150119,2860,2880,2873,2902,2792,2807,2886,-73,6,410,11835200,788
22,m1503,20150120,2807,2886,2836,2847,2808,2820,2828,-66,-58,56,1583820,764
23,m1503,20150121,2820,2828,2821,2871,2799,2852,2841,24,13,64,1818820,766
24,m1503,20150122,2852,2841,2869,2869,2821,2848,2846,7,5,106,3016960,704
25,m1503,20150123,2848,2846,2840,2840,2808,2808,2818,-38,-28,36,1014660,702
26,m1503,20150126,2808,2818,2837,2837,2801,2811,2814,-7,-4,200,5628600,686
27,m1503,20150127,2811,2814,2828,2857,2828,2834,2842,20,28,38,1080220,680
28,m1503,20150128,2834,2842,2829,2834,2804,2830,2818,-12,-24,20,563640,684
29,m1503,20150129,2830,2818,2803,2829,2790,2813,2804,-5,-14,110,3084560,684
30,m1503,20150130,2813,2804,2820,2842,2807,2832,2825,28,21,66,1865040,666
31,m1503,20150202,2832,2825,2827,2827,2787,2801,2798,-24,-27,46,1287500,686
32,m1503,20150203,2801,2798,2809,2853,2795,2825,2824,27,26,118,3333200,740
33,m1503,20150204,2825,2824,2876,2894,2852,2868,2877,44,53,120,3452800,732
34,m1503,20150205,2868,2877,2853,2853,2831,2834,2835,-43,-42,48,1361040,736
35,m1503,20150206,2834,2835,2859,2860,2835,2837,2849,2,14,108,3077280,730
36,m1503,20150209,2837,2849,2845,2850,2845,2850,2849,1,0,12,341900,728
37,m1503,20150210,2850,2849,2850,2871,2850,2850,2854,1,5,22,628000,722
38,m1503,20150211,2850,2854,2860,2862,2852,2858,2857,4,3,194,5543680,710
39,m1503,20150212,2858,2857,2865,2865,2852,2852,2858,-5,1,4,114340,710
40,m1503,20150213,2852,2858,2880,2930,2866,2930,2895,72,37,60,1737080,706
41,m1503,20150216,2930,2895,2905,2966,2905,2950,2926,55,31,142,4155400,598
42,m1503,20150217,2950,2926,2930,2954,2930,2954,2934,28,8,20,586880,594
43,m1503,20150225,2954,2934,3062,3062,2910,2956,2962,22,28,300,8886980,438
44,m1503,20150226,2956,2962,2970,3005,2970,2985,2982,23,20,156,4652340,360
45,m1503,20150227,2985,2982,2986,3101,2920,3000,3011,18,29,730,21983860,232
46,m1503,20150302,3000,3011,2930,2930,2930,2930,2930,-81,-81,232,6797600,232
47,m1503,20150303,2930,2930,0,0,0,2930,2930,0,0,0,0,0
48,m1503,20150304,2930,2930,0,0,0,2930,2930,0,0,0,0,0
49,m1503,20150305,2930,2930,0,0,0,2930,2930,0,0,0,0,0
50,m1503,20150306,2930,2930,0,0,0,2930,2930,0,0,0,0,0
51,m1503,20150309,2930,2930,0,0,0,2930,2930,0,0,0,0,0
52,m1503,20150310,2930,2930,0,0,0,2930,2930,0,0,0,0,0
53,m1503,20150311,2930,2930,0,0,0,2930,2930,0,0,0,0,0
54,m1503,20150312,2930,2930,0,0,0,2930,2930,0,0,0,0,0
55,m1503,20150313,2930,2930,0,0,0,2930,2930,0,0,0,0,0
56,m1505,20150105,2869,2884,2802,2828,2802,2805,2816,-79,-68,1133224,31912154900,2128376
57,m1505,20150106,2805,2816,2816,2873,2811,2849,2848,33,32,1638688,46681810980,1857150
58,m1505,20150107,2849,2848,2860,2881,2846,2858,2863,10,15,1282780,36730395780,1842564
59,m1505,20150108,2858,2863,2863,2873,2850,2864,2861,1,-2,931688,26655894500,1879430
60,m1505,20150109,2864,2861,2863,2873,2820,2831,2842,-30,-19,1413136,40162497140,1994680
61,m1505,20150112,2831,2842,2835,2849,2826,2837,2837,-5,-5,836516,23739038460,1983212
62,m1505,20150113,2837,2837,2830,2846,2770,2785,2797,-52,-40,1807898,50582847140,2184950
63,m1505,20150114,2785,2797,2782,2792,2716,2719,2750,-78,-47,2093774,57591564840,2281052
64,m1505,20150115,2719,2750,2718,2755,2702,2746,2732,-4,-18,2024042,55310378980,2140580
65,m1505,20150116,2746,2732,2741,2765,2692,2710,2720,-22,-12,2806146,76342811160,2253938
66,m1505,20150119,2710,2720,2713,2735,2620,2681,2691,-39,-29,3603260,96968740500,2048538
67,m1505,20150120,2681,2691,2681,2683,2644,2669,2662,-22,-29,2109820,56178056060,2081390
68,m1505,20150121,2669,2662,2669,2730,2645,2693,2682,31,20,2825926,75810639360,2107458
69,m1505,20150122,2693,2682,2690,2721,2682,2698,2700,16,18,2285610,61722661020,2187792
70,m1505,20150123,2698,2700,2711,2711,2663,2681,2679,-19,-21,2016936,54039011320,2194440
71,m1505,20150126,2681,2679,2671,2698,2658,2674,2679,-5,0,2383954,63884851420,2236424
72,m1505,20150127,2674,2679,2670,2720,2669,2695,2695,16,16,2215258,59705269160,2181984
73,m1505,20150128,2695,2695,2696,2702,2676,2691,2688,-4,-7,1573514,42308787580,2167684
74,m1505,20150129,2691,2688,2684,2702,2673,2686,2685,-2,-3,1528462,41039705520,2140312
75,m1505,20150130,2686,2685,2682,2702,2677,2694,2692,9,7,1672080,45017701920,2102938
76,m1505,20150202,2694,2692,2697,2697,2655,2665,2671,-27,-21,2221282,59342952280,2231834
77,m1505,20150203,2665,2671,2671,2701,2663,2691,2682,20,11,1870170,50166652620,2224246
78,m1505,20150204,2691,2682,2699,2752,2689,2720,2721,38,39,3041890,82780669300,2117758
79,m1505,20150205,2720,2721,2721,2727,2700,2716,2714,-5,-7,1539530,41784654180,2088058
80,m1505,20150206,2716,2714,2721,2742,2716,2725,2727,11,13,1684274,45946677080,2038138
81,m1505,20150209,2725,2727,2731,2738,2712,2737,2726,10,-1,1413060,38521286860,2008488
82,m1505,20150210,2737,2726,2732,2759,2729,2734,2743,8,17,1591966,43675073940,1955180
83,m1505,20150211,2734,2743,2731,2759,2724,2744,2740,1,-3,1658578,45447751140,1974310
84,m1505,20150212,2744,2740,2738,2749,2735,2742,2741,2,1,693770,19020395260,1936714
85,m1505,20150213,2742,2741,2745,2795,2743,2794,2769,53,28,1557154,43121597680,1848922
86,m1505,20150216,2794,2769,2786,2819,2785,2799,2804,30,35,1128734,31652924480,1776156
87,m1505,20150217,2799,2804,2793,2814,2789,2809,2800,5,-4,446456,12502431240,1716552
88,m1505,20150225,2809,2800,2848,2869,2831,2838,2844,38,44,597144,16987386120,1702566
89,m1505,20150226,2838,2844,2838,2865,2832,2851,2849,7,5,979856,27922350260,1724848
90,m1505,20150227,2851,2849,2859,2930,2852,2919,2889,70,40,1513870,43745846580,1728592
91,m1505,20150302,2919,2889,2922,2951,2905,2932,2929,43,40,1502486,44019490560,1650454
92,m1505,20150303,2932,2929,2932,2941,2873,2883,2901,-46,-28,1357532,39394780920,1476720
93,m1505,20150304,2883,2901,2884,2890,2847,2875,2866,-26,-35,867688,24873873380,1409720
94,m1505,20150305,2875,2866,2866,2866,2834,2842,2844,-24,-22,707210,20120002520,1375482
95,m1505,20150306,2842,2844,2836,2872,2818,2820,2846,-24,2,852240,24261790940,1301178
96,m1505,20150309,2820,2846,2828,2848,2802,2840,2826,-6,-20,722940,20437036620,1196876
97,m1505,20150310,2840,2826,2839,2865,2831,2849,2846,23,20,499854,14226397240,1137270
98,m1505,20150311,2849,2846,2845,2899,2821,2874,2857,28,11,779128,22264242960,1102160
99,m1505,20150312,2874,2857,2862,2899,2861,2887,2881,30,24,524660,15118768720,1039770
100,m1505,20150313,2887,2881,2881,2895,2855,2864,2873,-17,-8,545498,15674589960,976292
101,m1505,20150316,2864,2873,2851,2859,2816,2833,2835,-40,-38,323314,9168807240,944012
102,m1505,20150317,2833,2835,2840,2852,2816,2820,2829,-15,-6,415224,11749033840,928560
103,m1505,20150318,2820,2829,2808,2816,2782,2791,2796,-38,-33,448138,12530538800,850282
104,m1505,20150319,2791,2796,2799,2845,2789,2828,2817,32,21,486484,13706025620,834786
105,m1505,20150320,2828,2817,2819,2824,2811,2819,2817,2,0,292260,8233073520,815234
106,m1505,20150323,2819,2817,2811,2848,2811,2838,2832,21,15,248002,7023718420,782106
107,m1505,20150324,2838,2832,2838,2858,2822,2844,2841,12,9,232024,6592423760,754398
108,m1505,20150325,2844,2841,2840,2846,2817,2826,2832,-15,-9,238282,6748859740,715888
109,m1505,20150326,2826,2832,2838,2838,2800,2806,2816,-26,-16,197208,5553509740,700456
110,m1505,20150327,2806,2816,2809,2809,2780,2799,2793,-17,-23,221186,6178371560,674814
111,m1505,20150330,2799,2793,2790,2798,2776,2784,2787,-9,-6,208154,5801514840,637870
112,m1505,20150331,2784,2787,2778,2785,2752,2773,2770,-14,-17,232930,6452943760,604266
113,m1505,20150401,2773,2770,2771,2840,2766,2813,2813,43,43,367744,10345424240,529262
114,m1505,20150402,2813,2813,2819,2832,2803,2808,2815,-5,2,226650,6381869360,491194
115,m1505,20150403,2808,2815,2796,2810,2789,2792,2798,-23,-17,169080,4731194980,455766
