,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,i1501,20150105,526,531,520,522,516,520,519,-11,-12,1190,61872800,7236
2,i1501,20150106,520,519,525,533,525,530,528,11,9,1174,62014800,6070
3,i1501,20150107,530,528,522,528,522,527,526,-1,-2,964,50731200,5108
4,i1501,20150108,527,526,527,527,526,527,526,1,0,1346,70851000,3766
5,i1501,20150109,527,526,526,528,524,524,525,-2,-1,2372,124589200,1394
6,i1501,20150112,524,525,526,526,519,519,519,-6,-6,670,34822000,728
7,i1501,20150113,519,519,510,510,505,505,505,-14,-14,178,9003000,550
8,i1501,20150114,505,505,505,505,505,505,505,0,0,50,2525000,500
9,i1501,20150115,505,505,0,0,0,505,505,0,0,0,0,500
10,i1501,20150116,505,505,0,0,0,524,524,19,19,500,26200000,0
11,i1502,20150105,533,533,517,519,515,516,516,-17,-17,8,413400,16
12,i1502,20150106,516,516,0,0,0,524,524,8,8,0,0,16
13,i1502,20150107,524,524,508,536,508,536,522,12,-2,4,208800,16
14,i1502,20150108,536,522,516,516,514,514,515,-8,-7,4,206000,14
15,i1502,20150109,514,515,0,0,0,515,515,0,0,0,0,14
16,i1502,20150112,515,515,0,0,0,515,515,0,0,0,0,14
17,i1502,20150113,515,515,509,515,507,507,510,-8,-5,6,306200,12
18,i1502,20150114,507,510,0,0,0,510,510,0,0,0,0,12
19,i1502,20150115,510,510,0,0,0,510,510,0,0,0,0,12
20,i1502,20150116,510,510,508,508,508,508,508,-2,-2,2,101600,12
21,i1502,20150119,508,508,513,518,504,504,512,-4,4,16,819200,4
22,i1502,20150120,504,512,0,0,0,512,512,0,0,0,0,4
23,i1502,20150121,512,512,520,520,505,505,512,-7,0,8,410000,4
24,i1502,20150122,505,512,512,518,505,505,510,-7,-2,8,408000,2
25,i1502,20150123,505,510,530,530,497,497,513,-13,3,4,205400,2
26,i1502,20150126,497,513,513,513,513,513,513,0,0,2,102600,0
27,i1502,20150127,513,513,0,0,0,513,513,0,0,0,0,0
28,i1502,20150128,513,513,0,0,0,513,513,0,0,0,0,0
