"ROWNUM","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","a1601","20160104","3815.00","3826.00","3800","3870","3600","3800","3810","-26","-16","122","4649080.00","7072"
"2","a1601","20160105","3800.00","3810.00","3870","3870","3659","3800","3839","-10","29","50","1919580.00","6618"
"3","a1601","20160106","3800.00","3839.00","3636","3796","3609","3792","3785","-47","-54","290","10977640.00","6486"
"4","a1601","20160107","3792.00","3785.00","3790","3790","3786","3786","3788","1","3","182","6894200.00","6486"
"5","a1601","20160108","3786.00","3788.00","3780","3780","3780","3780","3780","-8","-8","16","604800.00","6084"
"6","a1601","20160111","3780.00","3780.00","3770","3788","3770","3788","3770","8","-10","54","2036160.00","5968"
"7","a1601","20160112","3788.00","3770.00","0","0","0","3770","3770","0","0","0","0.00","5918"
"8","a1601","20160113","3770.00","3770.00","0","0","0","3770","3770","0","0","0","0.00","5918"
"9","a1601","20160114","3770.00","3770.00","3750","3750","3750","3750","3750","-20","-20","2778","104175000.00","3226"
"10","a1601","20160115","3750.00","3750.00","3900","3900","3900","3900","3759","150","9","6","234000.00","0"
"11","a1603","20160104","3474.00","3482.00","3480","3484","3463","3463","3476","-19","-6","232","8066340.00","1182"
"12","a1603","20160105","3463.00","3476.00","3484","3485","3455","3483","3478","7","2","178","6191220.00","1192"
"13","a1603","20160106","3483.00","3478.00","3386","3480","3386","3463","3463","-15","-15","202","6995600.00","1212"
"14","a1603","20160107","3463.00","3463.00","3472","3488","3462","3469","3478","6","15","194","6749220.00","1250"
"15","a1603","20160108","3469.00","3478.00","3472","3493","3459","3489","3477","11","-1","318","11057080.00","1264"
"16","a1603","20160111","3489.00","3477.00","3489","3500","3460","3489","3483","12","6","260","9056360.00","1240"
"17","a1603","20160112","3489.00","3483.00","3493","3497","3483","3492","3489","9","6","78","2721480.00","1234"
"18","a1603","20160113","3492.00","3489.00","3493","3523","3493","3517","3510","28","21","216","7583020.00","1218"
"19","a1603","20160114","3517.00","3510.00","3514","3516","3492","3494","3498","-16","-12","88","3078980.00","1276"
"20","a1603","20160115","3494.00","3498.00","3499","3505","3492","3494","3499","-4","1","50","1749920.00","1278"
"21","a1603","20160118","3494.00","3499.00","3492","3505","3488","3503","3498","4","-1","58","2028840.00","1288"
"22","a1603","20160119","3503.00","3498.00","3498","3530","3498","3530","3516","32","18","88","3094400.00","1292"
"23","a1603","20160120","3530.00","3516.00","3607","3607","3498","3504","3520","-12","4","82","2886660.00","1298"
"24","a1603","20160121","3504.00","3520.00","3501","3505","3478","3497","3497","-23","-23","80","2797880.00","1302"
"25","a1603","20160122","3497.00","3497.00","3503","3517","3490","3505","3506","8","9","158","5539740.00","1290"
"26","a1603","20160125","3505.00","3506.00","3513","3525","3503","3503","3518","-3","12","100","3518660.00","1296"
"27","a1603","20160126","3503.00","3518.00","3499","3512","3499","3506","3504","-12","-14","18","630840.00","1298"
"28","a1603","20160127","3506.00","3504.00","3499","3507","3490","3492","3496","-12","-8","532","18602160.00","1702"
"29","a1603","20160128","3492.00","3496.00","3490","3493","3466","3466","3487","-30","-9","82","2859400.00","1720"
"30","a1603","20160129","3466.00","3487.00","3454","3459","3454","3459","3456","-28","-31","18","622120.00","1718"
"31","a1603","20160201","3459.00","3456.00","3455","3491","3448","3453","3458","-3","2","12","415040.00","1716"
"32","a1603","20160202","3453.00","3458.00","3445","3447","3382","3445","3430","-13","-28","22","754700.00","1716"
"33","a1603","20160203","3445.00","3430.00","3450","3450","3450","3450","3450","20","20","8","276000.00","1716"
"34","a1603","20160204","3450.00","3450.00","3429","3429","3400","3400","3412","-50","-38","42","1433400.00","1714"
"35","a1603","20160205","3400.00","3412.00","3409","3409","3350","3351","3373","-61","-39","14","472260.00","1718"
"36","a1603","20160215","3351.00","3373.00","3400","3400","3353","3353","3381","-20","8","6","202880.00","1716"
"37","a1603","20160216","3353.00","3381.00","3400","3400","3305","3400","3364","19","-17","16","538380.00","1718"
"38","a1603","20160217","3400.00","3364.00","3355","3371","3355","3360","3366","-4","2","60","2020000.00","1704"
"39","a1603","20160218","3360.00","3366.00","3375","3375","3344","3350","3356","-16","-10","178","5974020.00","1768"
"40","a1603","20160219","3350.00","3356.00","3359","3364","3334","3354","3352","-2","-4","12","402260.00","1768"
"41","a1603","20160222","3354.00","3352.00","3372","3397","3372","3397","3382","45","30","50","1691200.00","1778"
"42","a1603","20160223","3397.00","3382.00","3390","3390","3360","3390","3369","8","-13","46","1549940.00","1778"
"43","a1603","20160224","3390.00","3369.00","3392","3397","3355","3376","3383","7","14","240","8121420.00","1816"
"44","a1603","20160225","3376.00","3383.00","3381","3399","3350","3399","3382","16","-1","136","4600340.00","1720"
"45","a1603","20160226","3399.00","3382.00","3410","3410","3351","3377","3389","-5","7","78","2644180.00","1694"
"46","a1603","20160229","3377.00","3389.00","3400","3413","3390","3390","3401","1","12","174","5918900.00","1692"
"47","a1603","20160301","3390.00","3401.00","3199","3199","3199","3199","3199","-202","-202","4","127960.00","1686"
"48","a1603","20160302","3199.00","3199.00","3300","3300","3300","3300","3300","101","101","2","66000.00","1068"
"49","a1603","20160303","3300.00","3300.00","3498","3498","3498","3498","3498","198","198","2","69960.00","1068"
"50","a1603","20160304","3498.00","3498.00","3690","3690","3690","3690","3690","192","192","2","73800.00","0"
"51","a1603","20160307","3690.00","3690.00","0","0","0","3690","3690","0","0","0","0.00","0"
"52","a1603","20160308","3690.00","3690.00","0","0","0","3690","3690","0","0","0","0.00","0"
"53","a1603","20160309","3690.00","3690.00","0","0","0","3690","3690","0","0","0","0.00","0"
"54","a1603","20160310","3690.00","3690.00","0","0","0","3690","3690","0","0","0","0.00","0"
"55","a1603","20160311","3690.00","3690.00","0","0","0","3690","3690","0","0","0","0.00","0"
"56","a1603","20160314","3690.00","3690.00","0","0","0","3377","3377","-313","-313","0","0.00","0"
"57","a1605","20160104","3620.00","3615.00","3615","3645","3571","3603","3602","-12","-13","120894","4355167300.00","197206"
"58","a1605","20160105","3603.00","3602.00","3602","3624","3596","3614","3611","12","9","89338","3226227220.00","190302"
"59","a1605","20160106","3614.00","3611.00","3615","3620","3578","3596","3593","-15","-18","139100","4998695780.00","205446"
"60","a1605","20160107","3596.00","3593.00","3588","3630","3587","3596","3604","3","11","106460","3836827860.00","193450"
"61","a1605","20160108","3596.00","3604.00","3594","3620","3590","3607","3609","3","5","105130","3794465880.00","185866"
"62","a1605","20160111","3607.00","3609.00","3610","3616","3562","3578","3587","-31","-22","145006","5202112780.00","206616"
"63","a1605","20160112","3578.00","3587.00","3573","3589","3571","3582","3581","-5","-6","72774","2606162760.00","203610"
"64","a1605","20160113","3582.00","3581.00","3584","3619","3579","3613","3606","32","25","174728","6301766220.00","184960"
"65","a1605","20160114","3613.00","3606.00","3609","3611","3583","3590","3593","-16","-13","104958","3771708000.00","182756"
"66","a1605","20160115","3590.00","3593.00","3595","3600","3579","3590","3589","-3","-4","66458","2385496760.00","182734"
"67","a1605","20160118","3590.00","3589.00","3580","3614","3576","3601","3595","12","6","110376","3968845560.00","167490"
"68","a1605","20160119","3601.00","3595.00","3605","3645","3589","3636","3619","41","24","132664","4801374300.00","154624"
"69","a1605","20160120","3636.00","3619.00","3632","3648","3593","3603","3619","-16","0","109970","3980907440.00","154458"
"70","a1605","20160121","3603.00","3619.00","3613","3613","3570","3591","3586","-28","-33","126210","4526867180.00","163190"
"71","a1605","20160122","3591.00","3586.00","3593","3612","3586","3607","3601","21","15","88044","3170705960.00","161148"
"72","a1605","20160125","3607.00","3601.00","3610","3618","3576","3582","3594","-19","-7","99894","3590529660.00","171138"
"73","a1605","20160126","3582.00","3594.00","3581","3583","3541","3554","3552","-40","-42","190252","6757911000.00","202950"
"74","a1605","20160127","3554.00","3552.00","3556","3574","3534","3564","3557","12","5","137268","4882823200.00","183362"
"75","a1605","20160128","3564.00","3557.00","3570","3570","3523","3529","3545","-28","-12","139930","4961576400.00","196934"
"76","a1605","20160129","3529.00","3545.00","3528","3534","3507","3516","3522","-29","-23","121634","4284311080.00","197610"
"77","a1605","20160201","3516.00","3522.00","3515","3533","3512","3517","3521","-5","-1","59240","2086156460.00","195640"
"78","a1605","20160202","3517.00","3521.00","3515","3515","3484","3508","3506","-13","-15","91506","3208455100.00","203898"
"79","a1605","20160203","3508.00","3506.00","3508","3528","3504","3516","3517","10","11","78004","2743740720.00","190534"
"80","a1605","20160204","3516.00","3517.00","3515","3516","3471","3487","3487","-30","-30","122216","4262822400.00","192058"
"81","a1605","20160205","3487.00","3487.00","3486","3491","3453","3479","3473","-8","-14","104962","3645762100.00","172868"
"82","a1605","20160215","3479.00","3473.00","3465","3487","3426","3453","3451","-20","-22","75086","2591707620.00","183188"
"83","a1605","20160216","3453.00","3451.00","3456","3474","3450","3462","3462","11","11","74264","2571735440.00","181606"
"84","a1605","20160217","3462.00","3462.00","3461","3483","3454","3480","3467","18","5","86988","3016676800.00","177846"
"85","a1605","20160218","3480.00","3467.00","3478","3488","3471","3481","3478","14","11","65616","2282744400.00","176676"
"86","a1605","20160219","3481.00","3478.00","3480","3500","3474","3491","3488","13","10","75744","2642616240.00","174278"
"87","a1605","20160222","3491.00","3488.00","3493","3557","3487","3542","3520","54","32","128196","4512732500.00","149568"
"88","a1605","20160223","3542.00","3520.00","3540","3552","3508","3538","3526","18","6","77424","2730257000.00","142230"
"89","a1605","20160224","3538.00","3526.00","3535","3542","3504","3518","3520","-8","-6","75512","2658348900.00","143046"
"90","a1605","20160225","3518.00","3520.00","3518","3526","3502","3508","3516","-12","-4","70366","2474489520.00","142886"
"91","a1605","20160226","3508.00","3516.00","3508","3548","3508","3531","3529","15","13","114558","4043373240.00","138276"
"92","a1605","20160229","3531.00","3529.00","3528","3541","3463","3510","3501","-19","-28","127406","4460856380.00","130936"
"93","a1605","20160301","3510.00","3501.00","3506","3534","3506","3527","3519","26","18","70380","2477160620.00","127112"
"94","a1605","20160302","3527.00","3519.00","3523","3568","3506","3548","3535","29","16","127890","4522123880.00","119344"
"95","a1605","20160303","3548.00","3535.00","3545","3638","3542","3624","3604","89","69","210756","7597411800.00","125378"
"96","a1605","20160304","3624.00","3604.00","3624","3645","3606","3639","3626","35","22","136004","4932189600.00","121360"
"97","a1605","20160307","3639.00","3626.00","3638","3688","3583","3601","3636","-25","10","198926","7234629260.00","102388"
"98","a1605","20160308","3601.00","3636.00","3605","3636","3579","3592","3606","-44","-30","111296","4013917060.00","91930"
"99","a1605","20160309","3592.00","3606.00","3599","3614","3555","3580","3583","-26","-23","105340","3774680800.00","84250"
"100","a1605","20160310","3580.00","3583.00","3584","3606","3565","3565","3582","-18","-1","86770","3108370820.00","80792"
"101","a1605","20160311","3565.00","3582.00","3570","3577","3525","3549","3555","-33","-27","84168","2992195200.00","79420"
"102","a1605","20160314","3549.00","3555.00","3552","3573","3530","3533","3553","-22","-2","57664","2048965920.00","73294"
"103","a1605","20160315","3533.00","3553.00","3535","3548","3473","3476","3508","-77","-45","80356","2819586580.00","66158"
"104","a1605","20160316","3476.00","3508.00","3482","3485","3425","3445","3457","-63","-51","48716","1684587840.00","68896"
"105","a1605","20160317","3445.00","3457.00","3435","3461","3432","3456","3449","-1","-8","42088","1451908160.00","61978"
"106","a1605","20160318","3456.00","3449.00","3453","3465","3419","3438","3443","-11","-6","69524","2394393200.00","55006"
"107","a1605","20160321","3438.00","3443.00","3441","3448","3423","3425","3433","-18","-10","20838","715529940.00","51748"
"108","a1605","20160322","3425.00","3433.00","3426","3458","3426","3452","3448","19","15","23610","814110400.00","48844"
"109","a1605","20160323","3452.00","3448.00","3447","3478","3429","3446","3453","-2","5","30052","1037696780.00","43300"
"110","a1605","20160324","3446.00","3453.00","3440","3463","3435","3443","3448","-10","-5","19918","686863660.00","41290"
"111","a1605","20160325","3443.00","3448.00","3441","3468","3437","3456","3454","8","6","13510","466730440.00","39384"
"112","a1605","20160328","3456.00","3454.00","3465","3465","3445","3445","3454","-9","0","12832","443281040.00","35618"
"113","a1605","20160329","3445.00","3454.00","3447","3459","3426","3430","3441","-24","-13","9024","310555760.00","34586"
"114","a1605","20160330","3430.00","3441.00","3449","3450","3430","3444","3442","3","1","6066","208801500.00","33084"
"115","a1605","20160331","3444.00","3442.00","3440","3449","3405","3414","3418","-28","-24","8758","299410600.00","31084"
"116","a1605","20160401","3414.00","3418.00","3420","3427","3341","3345","3383","-73","-35","22264","753388940.00","26934"
"117","a1605","20160405","3345.00","3383.00","3349","3355","3333","3343","3346","-40","-37","5060","169315040.00","25946"
"118","a1605","20160406","3343.00","3346.00","3338","3344","3281","3284","3306","-62","-40","9054","299400520.00","24358"
"119","a1605","20160407","3284.00","3306.00","3282","3306","3276","3279","3291","-27","-15","6020","198159060.00","24298"
"120","a1605","20160408","3279.00","3291.00","3285","3311","3276","3297","3295","6","4","5404","178112000.00","22648"
"121","a1605","20160411","3297.00","3295.00","3297","3336","3296","3323","3317","28","22","5186","172049420.00","21608"
"122","a1605","20160412","3323.00","3317.00","3336","3345","3312","3342","3333","25","16","2700","90001860.00","20410"
"123","a1605","20160413","3342.00","3333.00","3345","3399","3345","3385","3380","52","47","6454","218148980.00","17972"
"124","a1605","20160414","3385.00","3380.00","3385","3403","3373","3375","3391","-5","11","4204","142586200.00","17262"
"125","a1605","20160415","3375.00","3391.00","3376","3385","3350","3350","3366","-41","-25","3774","127052960.00","16034"
"126","a1605","20160418","3350.00","3366.00","3336","3401","3330","3386","3379","20","13","3666","123904620.00","14666"
"127","a1605","20160419","3386.00","3379.00","3392","3413","3377","3388","3394","9","15","4388","148962580.00","12642"
"128","a1605","20160420","3388.00","3394.00","3393","3520","3391","3494","3468","100","74","8068","279848060.00","8338"
"129","a1605","20160421","3494.00","3468.00","3488","3606","3474","3606","3566","138","98","4948","176479160.00","6936"
"130","a1605","20160422","3606.00","3566.00","3620","3734","3480","3547","3633","-19","67","7054","256315500.00","4752"
"131","a1605","20160425","3547.00","3633.00","3547","3723","3540","3600","3610","-33","-23","1750","63179120.00","4310"
"132","a1605","20160426","3600.00","3610.00","3620","3630","3567","3605","3605","-5","-5","838","30217500.00","4162"
"133","a1605","20160427","3605.00","3605.00","3605","3645","3575","3576","3592","-29","-13","1944","69830600.00","2848"
"134","a1605","20160428","3576.00","3592.00","3610","3610","3497","3510","3524","-82","-68","620","21850260.00","2488"
"135","a1605","20160429","3510.00","3524.00","3510","3553","3431","3431","3492","-93","-32","2044","71380520.00","2168"
"136","a1605","20160503","3431.00","3492.00","3520","3630","3520","3630","3588","138","96","984","35311500.00","1678"
"137","a1605","20160504","3630.00","3588.00","0","0","0","3588","3588","0","0","0","0.00","1678"
"138","a1605","20160505","3588.00","3588.00","0","0","0","3588","3588","0","0","0","0.00","1678"
"139","a1605","20160506","3588.00","3588.00","0","0","0","3588","3588","0","0","0","0.00","1678"
"140","a1605","20160509","3588.00","3588.00","0","0","0","3588","3588","0","0","0","0.00","878"
"141","a1605","20160510","3588.00","3588.00","0","0","0","3588","3588","0","0","0","0.00","878"
"142","a1605","20160511","3588.00","3588.00","0","0","0","3588","3588","0","0","0","0.00","878"
"143","a1605","20160512","3588.00","3588.00","0","0","0","3588","3588","0","0","0","0.00","878"
"144","a1605","20160513","3588.00","3588.00","0","0","0","3588","3588","0","0","0","0.00","878"
"145","a1605","20160516","3588.00","3588.00","3700","3700","3700","3700","3617","112","29","340","12580000.00","0"
"146","a1607","20160104","3596.00","3596.00","0","0","0","3584","3584","-12","-12","0","0.00","10"
"147","a1607","20160105","3584.00","3584.00","0","0","0","3592","3592","8","8","0","0.00","10"
"148","a1607","20160106","3592.00","3592.00","0","0","0","3575","3575","-17","-17","0","0.00","10"
"149","a1607","20160107","3575.00","3575.00","0","0","0","3585","3585","10","10","0","0.00","10"
"150","a1607","20160108","3585.00","3585.00","0","0","0","3585","3585","0","0","0","0.00","10"
"151","a1607","20160111","3585.00","3585.00","3639","3639","3583","3583","3611","-2","26","4","144440.00","10"
"152","a1607","20160112","3583.00","3611.00","0","0","0","3605","3605","-6","-6","0","0.00","10"
"153","a1607","20160113","3605.00","3605.00","3661","3668","3600","3668","3643","63","38","6","218580.00","12"
"154","a1607","20160114","3668.00","3643.00","3578","3578","3578","3578","3578","-65","-65","2","71560.00","10"
"155","a1607","20160115","3578.00","3578.00","3616","3616","3616","3616","3616","38","38","2","72320.00","10"
"156","a1607","20160118","3616.00","3616.00","0","0","0","3616","3616","0","0","0","0.00","10"
"157","a1607","20160119","3616.00","3616.00","0","0","0","3616","3616","0","0","0","0.00","10"
"158","a1607","20160120","3616.00","3616.00","0","0","0","3616","3616","0","0","0","0.00","10"
"159","a1607","20160121","3616.00","3616.00","3615","3615","3615","3615","3615","-1","-1","2","72300.00","10"
"160","a1607","20160122","3615.00","3615.00","0","0","0","3630","3630","15","15","0","0.00","10"
"161","a1607","20160125","3630.00","3630.00","0","0","0","3630","3630","0","0","0","0.00","10"
"162","a1607","20160126","3630.00","3630.00","3489","3614","3489","3614","3542","-16","-88","12","425040.00","14"
"163","a1607","20160127","3614.00","3542.00","0","0","0","3571","3571","29","29","0","0.00","14"
"164","a1607","20160128","3571.00","3571.00","0","0","0","3570","3570","-1","-1","0","0.00","14"
"165","a1607","20160129","3570.00","3570.00","3480","3570","3480","3510","3529","-60","-41","8","282340.00","14"
"166","a1607","20160201","3510.00","3529.00","3536","3536","3536","3536","3536","7","7","4","141440.00","10"
"167","a1607","20160202","3536.00","3536.00","0","0","0","3533","3533","-3","-3","0","0.00","10"
"168","a1607","20160203","3533.00","3533.00","0","0","0","3533","3533","0","0","0","0.00","10"
"169","a1607","20160204","3533.00","3533.00","0","0","0","3523","3523","-10","-10","0","0.00","10"
"170","a1607","20160205","3523.00","3523.00","0","0","0","3509","3509","-14","-14","0","0.00","10"
"171","a1607","20160215","3509.00","3509.00","0","0","0","3495","3495","-14","-14","0","0.00","10"
"172","a1607","20160216","3495.00","3495.00","0","0","0","3495","3495","0","0","0","0.00","10"
"173","a1607","20160217","3495.00","3495.00","0","0","0","3500","3500","5","5","0","0.00","10"
"174","a1607","20160218","3500.00","3500.00","0","0","0","3500","3500","0","0","0","0.00","10"
"175","a1607","20160219","3500.00","3500.00","0","0","0","3510","3510","10","10","0","0.00","10"
"176","a1607","20160222","3510.00","3510.00","3554","3554","3495","3495","3535","-15","25","22","777700.00","10"
"177","a1607","20160223","3495.00","3535.00","0","0","0","3535","3535","0","0","0","0.00","10"
"178","a1607","20160224","3535.00","3535.00","0","0","0","3535","3535","0","0","0","0.00","10"
"179","a1607","20160225","3535.00","3535.00","0","0","0","3515","3515","-20","-20","0","0.00","10"
"180","a1607","20160226","3515.00","3515.00","0","0","0","3515","3515","0","0","0","0.00","10"
"181","a1607","20160229","3515.00","3515.00","0","0","0","3510","3510","-5","-5","0","0.00","10"
"182","a1607","20160301","3510.00","3510.00","3492","3523","3492","3520","3509","10","-1","10","350940.00","18"
"183","a1607","20160302","3520.00","3509.00","3522","3522","3521","3521","3521","12","12","4","140860.00","14"
"184","a1607","20160303","3521.00","3521.00","3559","3559","3559","3559","3559","38","38","2","71180.00","14"
"185","a1607","20160304","3559.00","3559.00","0","0","0","3619","3619","60","60","0","0.00","14"
"186","a1607","20160307","3619.00","3619.00","3649","3658","3557","3658","3616","39","-3","10","361600.00","14"
"187","a1607","20160308","3658.00","3616.00","0","0","0","3616","3616","0","0","0","0.00","14"
"188","a1607","20160309","3616.00","3616.00","0","0","0","3593","3593","-23","-23","0","0.00","14"
"189","a1607","20160310","3593.00","3593.00","3637","3637","3613","3613","3621","20","28","6","217280.00","10"
"190","a1607","20160311","3613.00","3621.00","0","0","0","3590","3590","-31","-31","0","0.00","10"
"191","a1607","20160314","3590.00","3590.00","0","0","0","3588","3588","-2","-2","0","0.00","10"
"192","a1607","20160315","3588.00","3588.00","3544","3544","3544","3544","3544","-44","-44","6","212640.00","16"
"193","a1607","20160316","3544.00","3544.00","0","0","0","3544","3544","0","0","0","0.00","16"
"194","a1607","20160317","3544.00","3544.00","0","0","0","3536","3536","-8","-8","0","0.00","16"
"195","a1607","20160318","3536.00","3536.00","3527","3527","3499","3510","3513","-26","-23","10","351300.00","16"
"196","a1607","20160321","3510.00","3513.00","3523","3523","3523","3523","3523","10","10","2","70460.00","18"
"197","a1607","20160322","3523.00","3523.00","3521","3556","3500","3501","3525","-22","2","18","634640.00","16"
"198","a1607","20160323","3501.00","3525.00","0","0","0","3530","3530","5","5","0","0.00","16"
"199","a1607","20160324","3530.00","3530.00","3529","3539","3448","3506","3506","-24","-24","26","911780.00","22"
"200","a1607","20160325","3506.00","3506.00","3550","3550","3501","3501","3525","-5","19","4","141020.00","22"
"201","a1607","20160328","3501.00","3525.00","0","0","0","3525","3525","0","0","0","0.00","22"
"202","a1607","20160329","3525.00","3525.00","3468","3468","3468","3468","3468","-57","-57","8","277440.00","16"
"203","a1607","20160330","3468.00","3468.00","0","0","0","3468","3468","0","0","0","0.00","16"
"204","a1607","20160331","3468.00","3468.00","0","0","0","3444","3444","-24","-24","0","0.00","16"
"205","a1607","20160401","3444.00","3444.00","0","0","0","3409","3409","-35","-35","0","0.00","16"
"206","a1607","20160405","3409.00","3409.00","0","0","0","3409","3409","0","0","0","0.00","16"
"207","a1607","20160406","3409.00","3409.00","0","0","0","3369","3369","-40","-40","0","0.00","16"
"208","a1607","20160407","3369.00","3369.00","0","0","0","3368","3368","-1","-1","0","0.00","16"
"209","a1607","20160408","3368.00","3368.00","3355","3355","3355","3355","3355","-13","-13","2","67100.00","18"
"210","a1607","20160411","3355.00","3355.00","3355","3355","3355","3355","3355","0","0","2","67100.00","18"
"211","a1607","20160412","3355.00","3355.00","3415","3415","3288","3302","3342","-53","-13","12","401080.00","20"
"212","a1607","20160413","3302.00","3342.00","3370","3449","3370","3449","3409","107","67","4","136380.00","18"
"213","a1607","20160414","3449.00","3409.00","0","0","0","3420","3420","11","11","0","0.00","18"
"214","a1607","20160415","3420.00","3420.00","3444","3472","3346","3400","3391","-20","-29","14","474760.00","18"
"215","a1607","20160418","3400.00","3391.00","0","0","0","3391","3391","0","0","0","0.00","18"
"216","a1607","20160419","3391.00","3391.00","3505","3505","3441","3449","3465","58","74","6","207900.00","20"
"217","a1607","20160420","3449.00","3465.00","0","0","0","3540","3540","75","75","0","0.00","20"
"218","a1607","20160421","3540.00","3540.00","3592","3681","3592","3618","3643","78","103","8","291440.00","20"
"219","a1607","20160422","3618.00","3643.00","3604","3738","3604","3738","3681","95","38","10","368180.00","20"
"220","a1607","20160425","3738.00","3681.00","3681","3736","3660","3660","3704","-21","23","14","518560.00","20"
"221","a1607","20160426","3660.00","3704.00","3690","3690","3690","3690","3690","-14","-14","2","73800.00","20"
"222","a1607","20160427","3690.00","3690.00","0","0","0","3690","3690","0","0","0","0.00","20"
"223","a1607","20160428","3690.00","3690.00","3661","3661","3507","3512","3608","-178","-82","36","1298880.00","42"
"224","a1607","20160429","3512.00","3608.00","3535","3535","3534","3534","3534","-74","-74","6","212060.00","42"
"225","a1607","20160503","3534.00","3534.00","3535","3609","3535","3600","3552","66","18","28","994780.00","42"
"226","a1607","20160504","3600.00","3552.00","0","0","0","3552","3552","0","0","0","0.00","42"
"227","a1607","20160505","3552.00","3552.00","3552","3552","3540","3540","3546","-12","-6","4","141840.00","42"
"228","a1607","20160506","3540.00","3546.00","0","0","0","3546","3546","0","0","0","0.00","42"
"229","a1607","20160509","3546.00","3546.00","3508","3567","3406","3545","3504","-1","-42","54","1892600.00","74"
"230","a1607","20160510","3545.00","3504.00","3506","3555","3506","3555","3528","51","24","60","2117100.00","68"
"231","a1607","20160511","3555.00","3528.00","3560","3695","3560","3683","3616","155","88","70","2531880.00","62"
"232","a1607","20160512","3683.00","3616.00","3629","3660","3580","3660","3639","44","23","42","1528460.00","74"
"233","a1607","20160513","3660.00","3639.00","3620","3629","3532","3532","3601","-107","-38","34","1224460.00","50"
"234","a1607","20160516","3532.00","3601.00","3632","3632","3463","3575","3556","-26","-45","6","213400.00","50"
"235","a1607","20160517","3575.00","3556.00","3591","3620","3591","3602","3610","46","54","14","505420.00","48"
"236","a1607","20160518","3602.00","3610.00","3660","3660","3660","3660","3660","50","50","2","73200.00","46"
"237","a1607","20160519","3660.00","3660.00","0","0","0","3664","3664","4","4","0","0.00","46"
"238","a1607","20160520","3664.00","3664.00","3697","3697","3660","3660","3671","-4","7","16","587500.00","44"
"239","a1607","20160523","3660.00","3671.00","3675","3675","3650","3650","3664","-21","-7","12","439700.00","56"
"240","a1607","20160524","3650.00","3664.00","3601","3646","3565","3565","3607","-99","-57","8","288620.00","56"
"241","a1607","20160525","3565.00","3607.00","3640","3640","3614","3614","3623","7","16","6","217380.00","52"
"242","a1607","20160526","3614.00","3623.00","3620","3680","3610","3615","3619","-8","-4","30","1085720.00","42"
"243","a1607","20160527","3615.00","3619.00","3645","3649","3605","3622","3627","3","8","36","1305820.00","42"
"244","a1607","20160530","3622.00","3627.00","3674","3680","3645","3680","3661","53","34","30","1098540.00","42"
"245","a1607","20160531","3680.00","3661.00","3680","3700","3671","3674","3681","13","20","8","294500.00","42"
"246","a1607","20160601","3674.00","3681.00","3731","3731","3641","3675","3676","-6","-5","12","441200.00","48"
"247","a1607","20160602","3675.00","3676.00","3686","3777","3686","3706","3716","30","40","24","891880.00","50"
"248","a1607","20160603","3706.00","3716.00","3809","3809","3809","3809","3809","93","93","2","76180.00","50"
"249","a1607","20160606","3809.00","3809.00","3815","3816","3806","3806","3812","-3","3","18","686320.00","46"
"250","a1607","20160607","3806.00","3812.00","3786","3845","3786","3801","3817","-11","5","70","2672440.00","44"
"251","a1607","20160608","3801.00","3817.00","3800","3800","3800","3800","3800","-17","-17","2","76000.00","44"
"252","a1607","20160613","3800.00","3800.00","0","0","0","3900","3900","100","100","0","0.00","44"
"253","a1607","20160614","3900.00","3900.00","3900","3930","3807","3860","3874","-40","-26","16","619840.00","44"
