"ROWNUM","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","bb1601","20160104","83.40","83.40","0","0","0","78.4","78.4","-5","-5","0","0.00","36"
"2","bb1601","20160105","78.40","78.40","72.15","72.15","72.15","72.15","72.15","-6.25","-6.25","4","144300.00","36"
"3","bb1601","20160106","72.15","72.15","0","0","0","72.15","72.15","0","0","0","0.00","36"
"4","bb1601","20160107","72.15","72.15","0","0","0","72.15","72.15","0","0","0","0.00","36"
"5","bb1601","20160108","72.15","72.15","0","0","0","72.15","72.15","0","0","0","0.00","36"
"6","bb1601","20160111","72.15","72.15","0","0","0","72.15","72.15","0","0","0","0.00","36"
"7","bb1601","20160112","72.15","72.15","0","0","0","72.15","72.15","0","0","0","0.00","36"
"8","bb1601","20160113","72.15","72.15","0","0","0","72.15","72.15","0","0","0","0.00","36"
"9","bb1601","20160114","72.15","72.15","0","0","0","72.15","72.15","0","0","0","0.00","36"
"10","bb1601","20160115","72.15","72.15","0","0","0","72.15","72.15","0","0","0","0.00","0"
"11","bb1602","20160104","66.90","66.90","0","0","0","66.9","66.9","0","0","0","0.00","0"
"12","bb1602","20160105","66.90","66.90","0","0","0","63.6","63.6","-3.3","-3.3","0","0.00","0"
"13","bb1602","20160106","63.60","63.60","0","0","0","63.6","63.6","0","0","0","0.00","0"
"14","bb1602","20160107","63.60","63.60","0","0","0","63.6","63.6","0","0","0","0.00","0"
"15","bb1602","20160108","63.60","63.60","0","0","0","63.6","63.6","0","0","0","0.00","0"
"16","bb1602","20160111","63.60","63.60","0","0","0","63.6","63.6","0","0","0","0.00","0"
"17","bb1602","20160112","63.60","63.60","0","0","0","63.6","63.6","0","0","0","0.00","0"
"18","bb1602","20160113","63.60","63.60","0","0","0","63.6","63.6","0","0","0","0.00","0"
"19","bb1602","20160114","63.60","63.60","0","0","0","63.6","63.6","0","0","0","0.00","0"
"20","bb1602","20160115","63.60","63.60","0","0","0","63.6","63.6","0","0","0","0.00","0"
"21","bb1602","20160118","63.60","63.60","0","0","0","63.6","63.6","0","0","0","0.00","0"
"22","bb1602","20160119","63.60","63.60","0","0","0","63.6","63.6","0","0","0","0.00","0"
"23","bb1602","20160120","63.60","63.60","0","0","0","63.6","63.6","0","0","0","0.00","0"
"24","bb1602","20160121","63.60","63.60","0","0","0","63.6","63.6","0","0","0","0.00","0"
"25","bb1602","20160122","63.60","63.60","0","0","0","63.6","63.6","0","0","0","0.00","0"
