"ROWNUM","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","c1601","20160104","2099.00","2093.00","2108","2128","2083","2083","2101","-10","8","2294","48209060.00","4010"
"2","c1601","20160105","2083.00","2101.00","2080","2080","2080","2080","2080","-21","-21","4","83200.00","3998"
"3","c1601","20160106","2080.00","2080.00","0","0","0","2081","2081","1","1","0","0.00","2008"
"4","c1601","20160107","2081.00","2081.00","0","0","0","2082","2082","1","1","0","0.00","1866"
"5","c1601","20160108","2082.00","2082.00","2119","2119","2119","2119","2119","37","37","2","42380.00","1864"
"6","c1601","20160111","2119.00","2119.00","2050","2050","2050","2050","2050","-69","-69","26","533000.00","1864"
"7","c1601","20160112","2050.00","2050.00","0","0","0","2050","2050","0","0","0","0.00","1664"
"8","c1601","20160113","2050.00","2050.00","0","0","0","2050","2050","0","0","0","0.00","1664"
"9","c1601","20160114","2050.00","2050.00","2040","2040","2040","2040","2040","-10","-10","14","285600.00","1090"
"10","c1601","20160115","2040.00","2040.00","1950","1980","1950","1950","2086","-90","46","260","5088000.00","0"
"11","c1603","20160104","1986.00","1967.00","1949","1991","1949","1969","1968","2","1","44","866260.00","454"
"12","c1603","20160105","1969.00","1968.00","1963","1980","1963","1980","1964","12","-4","28","549980.00","480"
"13","c1603","20160106","1980.00","1964.00","1966","1976","1959","1973","1960","9","-4","82","1607920.00","538"
"14","c1603","20160107","1973.00","1960.00","1964","1964","1951","1958","1959","-2","-1","168","3291200.00","658"
"15","c1603","20160108","1958.00","1959.00","0","0","0","1959","1959","0","0","0","0.00","658"
"16","c1603","20160111","1959.00","1959.00","0","0","0","1956","1956","-3","-3","0","0.00","658"
"17","c1603","20160112","1956.00","1956.00","0","0","0","1956","1956","0","0","0","0.00","658"
"18","c1603","20160113","1956.00","1956.00","1966","1966","1949","1949","1955","-7","-1","12","234620.00","664"
"19","c1603","20160114","1949.00","1955.00","1946","1980","1935","1935","1953","-20","-2","16","312600.00","662"
"20","c1603","20160115","1935.00","1953.00","1949","1959","1934","1959","1943","6","-10","26","505340.00","664"
"21","c1603","20160118","1959.00","1943.00","1943","1974","1943","1974","1962","31","19","94","1845120.00","658"
"22","c1603","20160119","1974.00","1962.00","2038","2038","1936","1941","1954","-21","-8","100","1954860.00","670"
"23","c1603","20160120","1941.00","1954.00","1959","1959","1935","1944","1942","-10","-12","182","3534720.00","708"
"24","c1603","20160121","1944.00","1942.00","1941","1941","1905","1916","1933","-26","-9","22","425420.00","710"
"25","c1603","20160122","1916.00","1933.00","1947","1947","1947","1947","1947","14","14","4","77880.00","710"
"26","c1603","20160125","1947.00","1947.00","1947","1953","1920","1935","1936","-12","-11","40","774420.00","714"
"27","c1603","20160126","1935.00","1936.00","1947","1955","1943","1947","1946","11","10","194","3775700.00","728"
"28","c1603","20160127","1947.00","1946.00","1955","1994","1955","1968","1967","22","21","36","708220.00","726"
"29","c1603","20160128","1968.00","1967.00","1963","1979","1963","1979","1973","12","6","32","631560.00","718"
"30","c1603","20160129","1979.00","1973.00","2047","2047","1964","1964","1988","-9","15","12","238660.00","718"
"31","c1603","20160201","1964.00","1988.00","2009","2009","1973","1996","1994","8","6","40","797660.00","720"
"32","c1603","20160202","1996.00","1994.00","1994","2019","1979","1981","2003","-13","9","22","440740.00","714"
"33","c1603","20160203","1981.00","2003.00","2004","2004","1964","2003","1994","0","-9","18","358980.00","712"
"34","c1603","20160204","2003.00","1994.00","2003","2060","1961","2005","2014","11","20","56","1128320.00","706"
"35","c1603","20160205","2005.00","2014.00","2074","2074","1946","2019","2003","5","-11","22","440860.00","700"
"36","c1603","20160215","2019.00","2003.00","1995","2053","1995","2018","2019","15","16","20","403820.00","690"
"37","c1603","20160216","2018.00","2019.00","2035","2035","1999","2007","2004","-12","-15","26","521260.00","672"
"38","c1603","20160217","2007.00","2004.00","0","0","0","2004","2004","0","0","0","0.00","672"
"39","c1603","20160218","2004.00","2004.00","2000","2000","2000","2000","2000","-4","-4","2","40000.00","670"
"40","c1603","20160219","2000.00","2000.00","1980","1985","1980","1980","1981","-20","-19","8","158500.00","664"
"41","c1603","20160222","1980.00","1981.00","1958","1960","1958","1958","1958","-23","-23","10","195840.00","664"
"42","c1603","20160223","1958.00","1958.00","1941","1971","1931","1958","1960","0","2","50","980480.00","644"
"43","c1603","20160224","1958.00","1960.00","1967","1979","1950","1966","1961","6","1","74","1451600.00","622"
"44","c1603","20160225","1966.00","1961.00","1972","1980","1965","1967","1971","6","10","166","3273240.00","534"
"45","c1603","20160226","1967.00","1971.00","1978","2007","1978","2004","1995","33","24","132","2634160.00","432"
"46","c1603","20160229","2004.00","1995.00","2058","2074","1933","2002","2001","7","6","194","3882980.00","298"
"47","c1603","20160301","2002.00","2001.00","0","0","0","2001","2001","0","0","0","0.00","298"
"48","c1603","20160302","2001.00","2001.00","0","0","0","2001","2001","0","0","0","0.00","298"
"49","c1603","20160303","2001.00","2001.00","0","0","0","2001","2001","0","0","0","0.00","298"
"50","c1603","20160304","2001.00","2001.00","0","0","0","2001","2001","0","0","0","0.00","298"
"51","c1603","20160307","2001.00","2001.00","0","0","0","2001","2001","0","0","0","0.00","298"
"52","c1603","20160308","2001.00","2001.00","0","0","0","2001","2001","0","0","0","0.00","298"
"53","c1603","20160309","2001.00","2001.00","0","0","0","2001","2001","0","0","0","0.00","298"
"54","c1603","20160310","2001.00","2001.00","0","0","0","2001","2001","0","0","0","0.00","298"
"55","c1603","20160311","2001.00","2001.00","0","0","0","2001","2001","0","0","0","0.00","298"
"56","c1603","20160314","2001.00","2001.00","0","0","0","2001","2001","0","0","0","0.00","0"
"57","c1605","20160104","1896.00","1893.00","1895","1902","1881","1893","1889","0","-4","289822","5475223980.00","1180968"
"58","c1605","20160105","1893.00","1889.00","1891","1914","1889","1912","1901","23","12","360552","6856704720.00","1154956"
"59","c1605","20160106","1912.00","1901.00","1912","1929","1909","1927","1919","26","18","458790","8807328920.00","1171358"
"60","c1605","20160107","1927.00","1919.00","1928","1929","1908","1913","1917","-6","-2","503474","9653935880.00","1174398"
"61","c1605","20160108","1913.00","1917.00","1914","1920","1906","1911","1913","-6","-4","278044","5319343400.00","1133554"
"62","c1605","20160111","1911.00","1913.00","1900","1911","1893","1907","1904","-6","-9","318936","6075444460.00","1091450"
"63","c1605","20160112","1907.00","1904.00","1905","1915","1900","1913","1908","9","4","321724","6138807740.00","1089904"
"64","c1605","20160113","1913.00","1908.00","1911","1914","1902","1908","1907","0","-1","181734","3467284800.00","1083438"
"65","c1605","20160114","1908.00","1907.00","1908","1913","1898","1904","1905","-3","-2","254414","4847633640.00","1075522"
"66","c1605","20160115","1904.00","1905.00","1904","1912","1899","1910","1905","5","0","205602","3918316720.00","1086276"
"67","c1605","20160118","1910.00","1905.00","1910","1922","1904","1918","1916","13","11","320392","6139749780.00","1013656"
"68","c1605","20160119","1918.00","1916.00","1916","1918","1901","1905","1908","-11","-8","276730","5281112640.00","965722"
"69","c1605","20160120","1905.00","1908.00","1904","1915","1898","1909","1906","1","-2","255460","4869964600.00","937648"
"70","c1605","20160121","1909.00","1906.00","1907","1909","1901","1908","1904","2","-2","139306","2653375700.00","925600"
"71","c1605","20160122","1908.00","1904.00","1908","1920","1907","1914","1914","10","10","162684","3114768720.00","902360"
"72","c1605","20160125","1914.00","1914.00","1916","1921","1913","1917","1916","3","2","89432","1713823080.00","905452"
"73","c1605","20160126","1917.00","1916.00","1917","1927","1914","1921","1919","5","3","210658","4043816140.00","893480"
"74","c1605","20160127","1921.00","1919.00","1924","1947","1921","1944","1935","25","16","305628","5915928400.00","898500"
"75","c1605","20160128","1944.00","1935.00","1940","1950","1923","1945","1940","10","5","318386","6179630800.00","884600"
"76","c1605","20160129","1945.00","1940.00","1939","1948","1927","1933","1935","-7","-5","293574","5683137820.00","877848"
"77","c1605","20160201","1933.00","1935.00","1935","1943","1932","1936","1938","1","3","121076","2346725120.00","870770"
"78","c1605","20160202","1936.00","1938.00","1937","1941","1930","1937","1936","-1","-2","102084","1976683380.00","872558"
"79","c1605","20160203","1937.00","1936.00","1937","1948","1933","1946","1943","10","7","139872","2718219280.00","865156"
"80","c1605","20160204","1946.00","1943.00","1949","1971","1944","1968","1959","25","16","217014","4252747520.00","804290"
"81","c1605","20160205","1968.00","1959.00","1966","1966","1955","1958","1958","-1","-1","102596","2009630100.00","787684"
"82","c1605","20160215","1958.00","1958.00","1962","1972","1948","1971","1962","13","4","126430","2481387180.00","790894"
"83","c1605","20160216","1971.00","1962.00","1969","1981","1965","1966","1972","4","10","211096","4163101800.00","809012"
"84","c1605","20160217","1966.00","1972.00","1965","1966","1939","1943","1950","-29","-22","308132","6009547880.00","802058"
"85","c1605","20160218","1943.00","1950.00","1948","1954","1944","1950","1948","0","-2","222422","4334441900.00","797264"
"86","c1605","20160219","1950.00","1948.00","1950","1956","1934","1934","1945","-14","-3","230160","4476680960.00","797798"
"87","c1605","20160222","1934.00","1945.00","1933","1934","1893","1906","1912","-39","-33","516792","9883808240.00","718522"
"88","c1605","20160223","1906.00","1912.00","1905","1917","1893","1905","1904","-7","-8","281936","5370150940.00","687318"
"89","c1605","20160224","1905.00","1904.00","1901","1912","1858","1861","1878","-43","-26","556950","10461455460.00","650070"
"90","c1605","20160225","1861.00","1878.00","1863","1874","1845","1854","1858","-24","-20","372692","6926131160.00","612710"
"91","c1605","20160226","1854.00","1858.00","1852","1862","1835","1835","1847","-23","-11","300784","5557577180.00","600998"
"92","c1605","20160229","1835.00","1847.00","1830","1835","1789","1829","1815","-18","-32","599004","10877765120.00","591932"
"93","c1605","20160301","1829.00","1815.00","1825","1877","1825","1876","1857","61","42","447102","8303295120.00","571428"
"94","c1605","20160302","1876.00","1857.00","1877","1877","1850","1867","1863","10","6","301400","5617559740.00","562370"
"95","c1605","20160303","1867.00","1863.00","1869","1875","1858","1873","1868","10","5","235966","4410158860.00","537202"
"96","c1605","20160304","1873.00","1868.00","1875","1888","1871","1882","1878","14","10","153248","2878287420.00","520968"
"97","c1605","20160307","1882.00","1878.00","1880","1892","1836","1841","1859","-37","-19","315658","5868792900.00","487726"
"98","c1605","20160308","1841.00","1859.00","1830","1853","1801","1809","1826","-50","-33","317314","5795133880.00","473598"
"99","c1605","20160309","1809.00","1826.00","1803","1811","1764","1771","1787","-55","-39","496330","8870793680.00","542632"
