"ROWNUM","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","fb1601","20160104","52.25","52.45","49.35","49.35","49.35","49.35","49.35","-3.1","-3.1","8","197400.00","44"
"2","fb1601","20160105","49.35","49.35","49","49","49","49","49","-0.35","-0.35","4","98000.00","40"
"3","fb1601","20160106","49.00","49.00","51.9","51.9","51.9","51.9","51.9","2.9","2.9","2","51900.00","40"
"4","fb1601","20160107","51.90","51.90","0","0","0","51.9","51.9","0","0","0","0.00","40"
"5","fb1601","20160108","51.90","51.90","0","0","0","51.9","51.9","0","0","0","0.00","40"
"6","fb1601","20160111","51.90","51.90","48.8","48.8","48.8","48.8","48.8","-3.1","-3.1","16","390400.00","38"
"7","fb1601","20160112","48.80","48.80","48.4","48.4","45.9","45.9","47.55","-2.9","-1.25","6","142700.00","36"
"8","fb1601","20160113","45.90","47.55","0","0","0","47.55","47.55","0","0","0","0.00","36"
"9","fb1601","20160114","47.55","47.55","0","0","0","47.55","47.55","0","0","0","0.00","36"
"10","fb1601","20160115","47.55","47.55","0","0","0","48.9","48.9","1.35","1.35","0","0.00","0"
"11","fb1602","20160104","52.80","52.80","0","0","0","50.2","50.2","-2.6","-2.6","0","0.00","4"
"12","fb1602","20160105","50.20","50.20","0","0","0","49.85","49.85","-0.35","-0.35","0","0.00","4"
"13","fb1602","20160106","49.85","49.85","0","0","0","52.3","52.3","2.45","2.45","0","0.00","4"
"14","fb1602","20160107","52.30","52.30","0","0","0","52.3","52.3","0","0","0","0.00","4"
"15","fb1602","20160108","52.30","52.30","0","0","0","52.3","52.3","0","0","0","0.00","4"
"16","fb1602","20160111","52.30","52.30","52.3","52.3","52.3","52.3","52.3","0","0","4","104600.00","4"
"17","fb1602","20160112","52.30","52.30","0","0","0","49.7","49.7","-2.6","-2.6","0","0.00","4"
"18","fb1602","20160113","49.70","49.70","0","0","0","46.75","46.75","-2.95","-2.95","0","0.00","4"
"19","fb1602","20160114","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"20","fb1602","20160115","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"21","fb1602","20160118","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"22","fb1602","20160119","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"23","fb1602","20160120","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"24","fb1602","20160121","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"25","fb1602","20160122","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"26","fb1602","20160125","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"27","fb1602","20160126","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"28","fb1602","20160127","46.75","46.75","46.75","46.75","46.75","46.75","46.75","0","0","4","93500.00","4"
"29","fb1602","20160128","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"30","fb1602","20160129","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"31","fb1602","20160201","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"32","fb1602","20160202","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"33","fb1602","20160203","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"34","fb1602","20160204","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"35","fb1602","20160205","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"36","fb1602","20160215","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"37","fb1602","20160216","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"38","fb1602","20160217","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"39","fb1602","20160218","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","4"
"40","fb1602","20160219","46.75","46.75","0","0","0","46.75","46.75","0","0","0","0.00","0"
"41","fb1603","20160104","54.65","54.65","51.95","54.9","51.95","54.9","52.9","0.25","-1.75","6","158800.00","4"
"42","fb1603","20160105","54.90","52.90","0","0","0","52.9","52.9","0","0","0","0.00","4"
"43","fb1603","20160106","52.90","52.90","0","0","0","55.5","55.5","2.6","2.6","0","0.00","4"
"44","fb1603","20160107","55.50","55.50","0","0","0","55.5","55.5","0","0","0","0.00","4"
"45","fb1603","20160108","55.50","55.50","52.75","52.75","52.75","52.75","52.75","-2.75","-2.75","2","52750.00","6"
"46","fb1603","20160111","52.75","52.75","53.5","53.5","53.5","53.5","53.5","0.75","0.75","8","214000.00","6"
"47","fb1603","20160112","53.50","53.50","0","0","0","50.85","50.85","-2.65","-2.65","0","0.00","6"
"48","fb1603","20160113","50.85","50.85","48.1","52.95","47.8","48.05","49.35","-2.8","-1.5","22","543300.00","16"
"49","fb1603","20160114","48.05","49.35","46.9","47.9","46.9","47.9","47.4","-1.45","-1.95","4","94800.00","16"
"50","fb1603","20160115","47.90","47.40","0","0","0","47.4","47.4","0","0","0","0.00","16"
"51","fb1603","20160118","47.40","47.40","47.8","47.8","45.05","46.8","46","-0.6","-1.4","16","368000.00","20"
"52","fb1603","20160119","46.80","46.00","46.8","46.85","45.15","45.6","46.35","-0.4","0.35","20","463900.00","22"
"53","fb1603","20160120","45.60","46.35","47.25","47.25","45.15","45.65","45.8","-0.7","-0.55","10","229150.00","22"
"54","fb1603","20160121","45.65","45.80","44.55","46.95","44.55","46.35","45.6","0.55","-0.2","12","273700.00","22"
"55","fb1603","20160122","46.35","45.60","46","46.25","46","46.25","46.1","0.65","0.5","4","92250.00","22"
"56","fb1603","20160125","46.25","46.10","0","0","0","46.1","46.1","0","0","0","0.00","22"
"57","fb1603","20160126","46.10","46.10","44.75","44.75","44.75","44.75","44.75","-1.35","-1.35","4","89500.00","24"
"58","fb1603","20160127","44.75","44.75","0","0","0","44.8","44.8","0.05","0.05","0","0.00","24"
"59","fb1603","20160128","44.80","44.80","46.05","46.05","46.05","46.05","46.05","1.25","1.25","2","46050.00","22"
"60","fb1603","20160129","46.05","46.05","0","0","0","46.05","46.05","0","0","0","0.00","22"
"61","fb1603","20160201","46.05","46.05","0","0","0","46.05","46.05","0","0","0","0.00","22"
"62","fb1603","20160202","46.05","46.05","0","0","0","46.05","46.05","0","0","0","0.00","22"
"63","fb1603","20160203","46.05","46.05","0","0","0","46.05","46.05","0","0","0","0.00","22"
"64","fb1603","20160204","46.05","46.05","0","0","0","46.05","46.05","0","0","0","0.00","22"
"65","fb1603","20160205","46.05","46.05","44.05","44.05","44.05","44.05","44.05","-2","-2","2","44050.00","22"
"66","fb1603","20160215","44.05","44.05","42.1","46.1","42.1","42.85","43.65","-1.2","-0.4","6","131050.00","22"
"67","fb1603","20160216","42.85","43.65","41.7","45.65","41.7","42.05","43.1","-1.6","-0.55","6","129400.00","22"
"68","fb1603","20160217","42.05","43.10","0","0","0","43.1","43.1","0","0","0","0.00","22"
