"ROWNUM","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","j1601","20160104","690.00","677.50","698","705","688","705","699","27.5","21.5","1058","73995800.00","2572"
"2","j1601","20160105","705.00","699.00","710","715","703.5","715","711","16","12","742","52763400.00","1870"
"3","j1601","20160106","715.00","711.00","0","0","0","711","711","0","0","0","0.00","1870"
"4","j1601","20160107","711.00","711.00","686","686","686","686","686","-25","-25","20","1372000.00","1870"
"5","j1601","20160108","686.00","686.00","681","681","655","680","655","-6","-31","908","59494600.00","964"
"6","j1601","20160111","680.00","655.00","694","694","694","694","694","39","39","4","277600.00","966"
"7","j1601","20160112","694.00","694.00","719.5","720","719.5","720","719.5","26","25.5","48","3455900.00","920"
"8","j1601","20160113","720.00","719.50","0","0","0","719.5","719.5","0","0","0","0.00","920"
"9","j1601","20160114","719.50","719.50","750","750","740","740","746","20.5","26.5","32","2388000.00","920"
"10","j1601","20160115","740.00","746.00","730","790.5","702","702","692","-44","-54","560","39676700.00","0"
"11","j1602","20160104","680.00","683.00","677","677","670","670","673.5","-13","-9.5","4","269400.00","120"
"12","j1602","20160105","670.00","673.50","653","654.5","653","654.5","653","-19","-20.5","42","2742900.00","92"
"13","j1602","20160106","654.50","653.00","0","0","0","660","660","7","7","0","0.00","92"
"14","j1602","20160107","660.00","660.00","0","0","0","660","660","0","0","0","0.00","92"
"15","j1602","20160108","660.00","660.00","0","0","0","660","660","0","0","0","0.00","92"
"16","j1602","20160111","660.00","660.00","0","0","0","660","660","0","0","0","0.00","92"
"17","j1602","20160112","660.00","660.00","0","0","0","684","684","24","24","0","0.00","92"
"18","j1602","20160113","684.00","684.00","657","677.5","657","657","663","-27","-21","14","928200.00","92"
"19","j1602","20160114","657.00","663.00","638.5","638.5","638.5","638.5","638.5","-24.5","-24.5","2","127700.00","90"
"20","j1602","20160115","638.50","638.50","658","658","658","658","658","19.5","19.5","2","131600.00","90"
"21","j1602","20160118","658.00","658.00","0","0","0","658","658","0","0","0","0.00","90"
