"ROWNUM","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","l1601","20160104","8845.00","8820.00","9080","9100","8880","8880","8955","60","135","798","35743600.00","1284"
"2","l1601","20160105","8880.00","8955.00","8860","8910","8810","8900","8875","-55","-80","498","22101950.00","1088"
"3","l1601","20160106","8900.00","8875.00","8855","8900","8750","8750","8800","-125","-75","330","14525200.00","798"
"4","l1601","20160107","8750.00","8800.00","8705","8800","8600","8600","8650","-200","-150","166","7180150.00","632"
"5","l1601","20160108","8600.00","8650.00","8560","8740","8555","8740","8570","90","-80","24","1028950.00","610"
"6","l1601","20160111","8740.00","8570.00","8740","8740","8600","8700","8690","130","120","14","608400.00","596"
"7","l1601","20160112","8700.00","8690.00","8650","8650","8650","8650","8650","-40","-40","38","1643500.00","596"
"8","l1601","20160113","8650.00","8650.00","8600","8600","8600","8600","8600","-50","-50","6","258000.00","596"
"9","l1601","20160114","8600.00","8600.00","8550","8550","8550","8550","8550","-50","-50","6","256500.00","596"
"10","l1601","20160115","8550.00","8550.00","8400","8400","8400","8400","8860","-150","310","12","504000.00","0"
"11","l1602","20160104","8625.00","8625.00","0","0","0","8755","8755","130","130","0","0.00","6"
"12","l1602","20160105","8755.00","8755.00","0","0","0","8680","8680","-75","-75","0","0.00","6"
"13","l1602","20160106","8680.00","8680.00","0","0","0","8610","8610","-70","-70","0","0.00","6"
"14","l1602","20160107","8610.00","8610.00","0","0","0","8465","8465","-145","-145","0","0.00","6"
"15","l1602","20160108","8465.00","8465.00","0","0","0","8390","8390","-75","-75","0","0.00","6"
"16","l1602","20160111","8390.00","8390.00","0","0","0","8505","8505","115","115","0","0.00","6"
"17","l1602","20160112","8505.00","8505.00","0","0","0","8470","8470","-35","-35","0","0.00","6"
"18","l1602","20160113","8470.00","8470.00","0","0","0","8470","8470","0","0","0","0.00","6"
"19","l1602","20160114","8470.00","8470.00","0","0","0","8425","8425","-45","-45","0","0.00","6"
"20","l1602","20160115","8425.00","8425.00","0","0","0","8730","8730","305","305","0","0.00","6"
"21","l1602","20160118","8730.00","8730.00","0","0","0","8730","8730","0","0","0","0.00","6"
"22","l1602","20160119","8730.00","8730.00","0","0","0","8730","8730","0","0","0","0.00","6"
"23","l1602","20160120","8730.00","8730.00","0","0","0","8730","8730","0","0","0","0.00","6"
"24","l1602","20160121","8730.00","8730.00","9000","9000","8380","8380","8690","-350","-40","4","173800.00","8"
"25","l1602","20160122","8380.00","8690.00","8440","8600","8440","8600","8520","-90","-170","4","170400.00","6"
"26","l1602","20160125","8600.00","8520.00","0","0","0","8520","8520","0","0","0","0.00","6"
"27","l1602","20160126","8520.00","8520.00","8550","8550","8550","8550","8550","30","30","6","256500.00","0"
"28","l1602","20160127","8550.00","8550.00","0","0","0","8550","8550","0","0","0","0.00","0"
"29","l1602","20160128","8550.00","8550.00","0","0","0","8550","8550","0","0","0","0.00","0"
"30","l1602","20160129","8550.00","8550.00","0","0","0","8550","8550","0","0","0","0.00","0"
"31","l1602","20160201","8550.00","8550.00","0","0","0","8550","8550","0","0","0","0.00","0"
"32","l1602","20160202","8550.00","8550.00","0","0","0","8550","8550","0","0","0","0.00","0"
"33","l1602","20160203","8550.00","8550.00","0","0","0","8550","8550","0","0","0","0.00","0"
"34","l1602","20160204","8550.00","8550.00","0","0","0","8550","8550","0","0","0","0.00","0"
"35","l1602","20160205","8550.00","8550.00","0","0","0","8550","8550","0","0","0","0.00","0"
"36","l1602","20160215","8550.00","8550.00","0","0","0","8550","8550","0","0","0","0.00","0"
"37","l1602","20160216","8550.00","8550.00","0","0","0","8550","8550","0","0","0","0.00","0"
"38","l1602","20160217","8550.00","8550.00","0","0","0","8550","8550","0","0","0","0.00","0"
"39","l1602","20160218","8550.00","8550.00","0","0","0","8550","8550","0","0","0","0.00","0"
"40","l1602","20160219","8550.00","8550.00","0","0","0","8550","8550","0","0","0","0.00","0"
"41","l1603","20160104","8530.00","8530.00","8110","8650","8110","8650","8380","120","-150","4","167600.00","2"
"42","l1603","20160105","8650.00","8380.00","0","0","0","8310","8310","-70","-70","0","0.00","2"
"43","l1603","20160106","8310.00","8310.00","0","0","0","8240","8240","-70","-70","0","0.00","2"
"44","l1603","20160107","8240.00","8240.00","0","0","0","8100","8100","-140","-140","0","0.00","2"
"45","l1603","20160108","8100.00","8100.00","0","0","0","8030","8030","-70","-70","0","0.00","2"
"46","l1603","20160111","8030.00","8030.00","0","0","0","8140","8140","110","110","0","0.00","2"
"47","l1603","20160112","8140.00","8140.00","7765","8205","7765","8205","7880","65","-260","8","315300.00","6"
"48","l1603","20160113","8205.00","7880.00","7500","8185","7500","8020","7900","140","20","12","474100.00","6"
"49","l1603","20160114","8020.00","7900.00","8155","8160","8145","8160","8155","260","255","10","407800.00","4"
"50","l1603","20160115","8160.00","8155.00","0","0","0","8155","8155","0","0","0","0.00","4"
"51","l1603","20160118","8155.00","8155.00","0","0","0","8155","8155","0","0","0","0.00","4"
"52","l1603","20160119","8155.00","8155.00","0","0","0","8155","8155","0","0","0","0.00","4"
"53","l1603","20160120","8155.00","8155.00","0","0","0","8155","8155","0","0","0","0.00","4"
"54","l1603","20160121","8155.00","8155.00","0","0","0","8120","8120","-35","-35","0","0.00","4"
"55","l1603","20160122","8120.00","8120.00","0","0","0","7965","7965","-155","-155","0","0.00","4"
"56","l1603","20160125","7965.00","7965.00","0","0","0","7965","7965","0","0","0","0.00","4"
"57","l1603","20160126","7965.00","7965.00","0","0","0","7990","7990","25","25","0","0.00","4"
"58","l1603","20160127","7990.00","7990.00","0","0","0","7990","7990","0","0","0","0.00","4"
"59","l1603","20160128","7990.00","7990.00","0","0","0","7990","7990","0","0","0","0.00","4"
"60","l1603","20160129","7990.00","7990.00","0","0","0","7990","7990","0","0","0","0.00","4"
"61","l1603","20160201","7990.00","7990.00","0","0","0","7990","7990","0","0","0","0.00","4"
"62","l1603","20160202","7990.00","7990.00","0","0","0","7990","7990","0","0","0","0.00","4"
"63","l1603","20160203","7990.00","7990.00","0","0","0","7990","7990","0","0","0","0.00","4"
"64","l1603","20160204","7990.00","7990.00","0","0","0","7990","7990","0","0","0","0.00","4"
"65","l1603","20160205","7990.00","7990.00","0","0","0","7990","7990","0","0","0","0.00","4"
"66","l1603","20160215","7990.00","7990.00","8465","8465","8165","8180","8300","190","310","18","747300.00","4"
"67","l1603","20160216","8180.00","8300.00","0","0","0","8300","8300","0","0","0","0.00","4"
"68","l1603","20160217","8300.00","8300.00","8715","8715","8250","8250","8560","-50","260","12","513600.00","0"
"69","l1603","20160218","8250.00","8560.00","0","0","0","8560","8560","0","0","0","0.00","0"
"70","l1603","20160219","8560.00","8560.00","0","0","0","8560","8560","0","0","0","0.00","0"
"71","l1603","20160222","8560.00","8560.00","0","0","0","8560","8560","0","0","0","0.00","0"
"72","l1603","20160223","8560.00","8560.00","0","0","0","8560","8560","0","0","0","0.00","0"
"73","l1603","20160224","8560.00","8560.00","8145","8985","8145","8985","8565","425","5","4","171300.00","0"
"74","l1603","20160225","8985.00","8565.00","0","0","0","8565","8565","0","0","0","0.00","0"
"75","l1603","20160226","8565.00","8565.00","0","0","0","8565","8565","0","0","0","0.00","0"
"76","l1603","20160229","8565.00","8565.00","0","0","0","8565","8565","0","0","0","0.00","0"
"77","l1603","20160301","8565.00","8565.00","0","0","0","8565","8565","0","0","0","0.00","0"
"78","l1603","20160302","8565.00","8565.00","0","0","0","8565","8565","0","0","0","0.00","0"
"79","l1603","20160303","8565.00","8565.00","0","0","0","8565","8565","0","0","0","0.00","0"
"80","l1603","20160304","8565.00","8565.00","0","0","0","8565","8565","0","0","0","0.00","0"
"81","l1603","20160307","8565.00","8565.00","0","0","0","8565","8565","0","0","0","0.00","0"
"82","l1603","20160308","8565.00","8565.00","0","0","0","8565","8565","0","0","0","0.00","0"
"83","l1603","20160309","8565.00","8565.00","0","0","0","8565","8565","0","0","0","0.00","0"
"84","l1603","20160310","8565.00","8565.00","0","0","0","8565","8565","0","0","0","0.00","0"
"85","l1603","20160311","8565.00","8565.00","0","0","0","8565","8565","0","0","0","0.00","0"
"86","l1603","20160314","8565.00","8565.00","0","0","0","8565","8565","0","0","0","0.00","0"
"87","l1604","20160104","8100.00","8100.00","8250","8300","8250","8300","8260","200","160","10","413000.00","40"
"88","l1604","20160105","8300.00","8260.00","0","0","0","8190","8190","-70","-70","0","0.00","40"
"89","l1604","20160106","8190.00","8190.00","0","0","0","8190","8190","0","0","0","0.00","40"
"90","l1604","20160107","8190.00","8190.00","0","0","0","8055","8055","-135","-135","0","0.00","40"
"91","l1604","20160108","8055.00","8055.00","8035","8150","8035","8150","8110","95","55","10","405700.00","38"
"92","l1604","20160111","8150.00","8110.00","8205","8205","8205","8205","8205","95","95","2","82050.00","38"
"93","l1604","20160112","8205.00","8205.00","8180","8180","7935","7935","7975","-270","-230","12","478550.00","28"
"94","l1604","20160113","7935.00","7975.00","7920","8050","7920","8050","7990","75","15","8","319750.00","28"
"95","l1604","20160114","8050.00","7990.00","8005","8005","8005","8005","8005","15","15","2","80050.00","26"
"96","l1604","20160115","8005.00","8005.00","0","0","0","8005","8005","0","0","0","0.00","26"
"97","l1604","20160118","8005.00","8005.00","0","0","0","8005","8005","0","0","0","0.00","26"
"98","l1604","20160119","8005.00","8005.00","8395","8395","8380","8380","8385","375","380","4","167750.00","24"
"99","l1604","20160120","8380.00","8385.00","0","0","0","8385","8385","0","0","0","0.00","24"
"100","l1604","20160121","8385.00","8385.00","8385","8580","8385","8580","8480","195","95","12","508950.00","24"
"101","l1604","20160122","8580.00","8480.00","8370","8410","8220","8400","8325","-80","-155","960","39965700.00","26"
"102","l1604","20160125","8400.00","8325.00","8300","8300","8300","8300","8300","-25","-25","2","83000.00","26"
"103","l1604","20160126","8300.00","8300.00","0","0","0","8360","8360","60","60","0","0.00","26"
"104","l1604","20160127","8360.00","8360.00","0","0","0","8360","8360","0","0","0","0.00","26"
"105","l1604","20160128","8360.00","8360.00","0","0","0","8360","8360","0","0","0","0.00","26"
"106","l1604","20160129","8360.00","8360.00","8390","8590","8390","8585","8540","225","180","10","427150.00","24"
"107","l1604","20160201","8585.00","8540.00","0","0","0","8540","8540","0","0","0","0.00","24"
"108","l1604","20160202","8540.00","8540.00","8485","8485","8485","8485","8485","-55","-55","10","424250.00","28"
"109","l1604","20160203","8485.00","8485.00","0","0","0","8485","8485","0","0","0","0.00","28"
"110","l1604","20160204","8485.00","8485.00","8695","8695","8695","8695","8695","210","210","4","173900.00","28"
"111","l1604","20160205","8695.00","8695.00","0","0","0","8695","8695","0","0","0","0.00","28"
"112","l1604","20160215","8695.00","8695.00","0","0","0","8695","8695","0","0","0","0.00","28"
