"ROWNUM","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","p1601","20160104","4510.00","4494.00","4580","4580","4456","4498","4500","4","6","2626","118203200.00","48926"
"2","p1601","20160105","4498.00","4500.00","4490","4520","4440","4510","4490","10","-10","1636","73465480.00","47296"
"3","p1601","20160106","4510.00","4490.00","4462","4476","4426","4426","4460","-64","-30","3762","167785320.00","43580"
"4","p1601","20160107","4426.00","4460.00","4464","4464","4360","4440","4422","-20","-38","4020","177786040.00","43012"
"5","p1601","20160108","4440.00","4422.00","4424","4424","4420","4420","4426","-2","4","326","14430400.00","42946"
"6","p1601","20160111","4420.00","4426.00","4354","4398","4354","4398","4376","-28","-50","100","4377200.00","42906"
"7","p1601","20160112","4398.00","4376.00","4440","4440","4354","4392","4390","16","14","656","28799440.00","42322"
"8","p1601","20160113","4392.00","4390.00","4400","4460","4400","4400","4422","10","32","2850","126050080.00","40472"
"9","p1601","20160114","4400.00","4422.00","0","0","0","4422","4422","0","0","28","1245600.00","40444"
"10","p1601","20160115","4422.00","4422.00","4420","4420","4420","4420","4448","-2","26","236","10431200.00","0"
"11","p1602","20160104","4726.00","4726.00","0","0","0","4732","4732","6","6","0","0.00","26"
"12","p1602","20160105","4732.00","4732.00","0","0","0","4722","4722","-10","-10","0","0.00","26"
"13","p1602","20160106","4722.00","4722.00","4898","4898","4534","4534","4614","-188","-108","18","830680.00","26"
"14","p1602","20160107","4534.00","4614.00","0","0","0","4576","4576","-38","-38","0","0.00","26"
"15","p1602","20160108","4576.00","4576.00","0","0","0","4580","4580","4","4","0","0.00","26"
"16","p1602","20160111","4580.00","4580.00","0","0","0","4530","4530","-50","-50","0","0.00","26"
"17","p1602","20160112","4530.00","4530.00","0","0","0","4544","4544","14","14","0","0.00","26"
"18","p1602","20160113","4544.00","4544.00","0","0","0","4576","4576","32","32","0","0.00","26"
"19","p1602","20160114","4576.00","4576.00","0","0","0","4576","4576","0","0","0","0.00","26"
"20","p1602","20160115","4576.00","4576.00","0","0","0","4576","4576","0","0","0","0.00","26"
"21","p1602","20160118","4576.00","4576.00","0","0","0","4576","4576","0","0","0","0.00","26"
"22","p1602","20160119","4576.00","4576.00","0","0","0","4576","4576","0","0","0","0.00","26"
"23","p1602","20160120","4576.00","4576.00","0","0","0","4576","4576","0","0","0","0.00","26"
"24","p1602","20160121","4576.00","4576.00","0","0","0","4576","4576","0","0","0","0.00","26"
"25","p1602","20160122","4576.00","4576.00","0","0","0","4576","4576","0","0","0","0.00","26"
"26","p1602","20160125","4576.00","4576.00","4394","4394","4394","4394","4394","-182","-182","10","439400.00","24"
"27","p1602","20160126","4394.00","4394.00","4300","4448","4300","4448","4330","54","-64","18","779680.00","12"
"28","p1602","20160127","4448.00","4330.00","4402","4402","4300","4300","4350","-30","20","4","174040.00","8"
"29","p1602","20160128","4300.00","4350.00","4300","4300","4300","4300","4300","-50","-50","2","86000.00","6"
"30","p1602","20160129","4300.00","4300.00","4300","4300","4300","4300","4300","0","0","6","258000.00","0"
"31","p1602","20160201","4300.00","4300.00","0","0","0","4300","4300","0","0","0","0.00","0"
"32","p1602","20160202","4300.00","4300.00","0","0","0","4300","4300","0","0","0","0.00","0"
"33","p1602","20160203","4300.00","4300.00","0","0","0","4300","4300","0","0","0","0.00","0"
"34","p1602","20160204","4300.00","4300.00","0","0","0","4300","4300","0","0","0","0.00","0"
"35","p1602","20160205","4300.00","4300.00","0","0","0","4300","4300","0","0","0","0.00","0"
"36","p1602","20160215","4300.00","4300.00","0","0","0","4300","4300","0","0","0","0.00","0"
"37","p1602","20160216","4300.00","4300.00","0","0","0","4300","4300","0","0","0","0.00","0"
"38","p1602","20160217","4300.00","4300.00","0","0","0","4300","4300","0","0","0","0.00","0"
"39","p1602","20160218","4300.00","4300.00","0","0","0","4300","4300","0","0","0","0.00","0"
"40","p1602","20160219","4300.00","4300.00","0","0","0","4300","4300","0","0","0","0.00","0"
"41","p1603","20160104","4552.00","4552.00","0","0","0","4558","4558","6","6","0","0.00","0"
"42","p1603","20160105","4558.00","4558.00","0","0","0","4548","4548","-10","-10","0","0.00","0"
"43","p1603","20160106","4548.00","4548.00","4438","4438","4414","4414","4426","-134","-122","4","177040.00","4"
"44","p1603","20160107","4414.00","4426.00","0","0","0","4390","4390","-36","-36","0","0.00","4"
"45","p1603","20160108","4390.00","4390.00","0","0","0","4392","4392","2","2","0","0.00","4"
"46","p1603","20160111","4392.00","4392.00","0","0","0","4344","4344","-48","-48","0","0.00","4"
"47","p1603","20160112","4344.00","4344.00","4514","4514","4514","4514","4514","170","170","4","180560.00","0"
"48","p1603","20160113","4514.00","4514.00","4356","4650","4356","4540","4506","26","-8","212","9553720.00","76"
"49","p1603","20160114","4540.00","4506.00","4678","4678","4462","4488","4532","-18","26","80","3625880.00","0"
"50","p1603","20160115","4488.00","4532.00","0","0","0","4532","4532","0","0","0","0.00","0"
"51","p1603","20160118","4532.00","4532.00","0","0","0","4532","4532","0","0","0","0.00","0"
"52","p1603","20160119","4532.00","4532.00","0","0","0","4532","4532","0","0","0","0.00","0"
"53","p1603","20160120","4532.00","4532.00","0","0","0","4532","4532","0","0","0","0.00","0"
"54","p1603","20160121","4532.00","4532.00","0","0","0","4532","4532","0","0","0","0.00","0"
"55","p1603","20160122","4532.00","4532.00","4364","4648","4364","4648","4506","116","-26","4","180240.00","2"
"56","p1603","20160125","4648.00","4506.00","4456","4456","4456","4456","4456","-50","-50","2","89120.00","0"
"57","p1603","20160126","4456.00","4456.00","0","0","0","4392","4392","-64","-64","0","0.00","0"
"58","p1603","20160127","4392.00","4392.00","0","0","0","4412","4412","20","20","0","0.00","0"
"59","p1603","20160128","4412.00","4412.00","0","0","0","4362","4362","-50","-50","0","0.00","0"
"60","p1603","20160129","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"61","p1603","20160201","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"62","p1603","20160202","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"63","p1603","20160203","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"64","p1603","20160204","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"65","p1603","20160205","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"66","p1603","20160215","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"67","p1603","20160216","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"68","p1603","20160217","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"69","p1603","20160218","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"70","p1603","20160219","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"71","p1603","20160222","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"72","p1603","20160223","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"73","p1603","20160224","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"74","p1603","20160225","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"75","p1603","20160226","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"76","p1603","20160229","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"77","p1603","20160301","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"78","p1603","20160302","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"79","p1603","20160303","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"80","p1603","20160304","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"81","p1603","20160307","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"82","p1603","20160308","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"83","p1603","20160309","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"84","p1603","20160310","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"85","p1603","20160311","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
"86","p1603","20160314","4362.00","4362.00","0","0","0","4362","4362","0","0","0","0.00","0"
