"ROWNUM","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","y1601","20160104","5894.00","5860.00","5860","5860","5730","5766","5760","-94","-100","2296","132283320.00","14630"
"2","y1601","20160105","5766.00","5760.00","5780","5836","5780","5836","5820","76","60","70","4074720.00","14560"
"3","y1601","20160106","5836.00","5820.00","5802","5802","5770","5770","5772","-50","-48","2026","116957520.00","14268"
"4","y1601","20160107","5770.00","5772.00","5772","5780","5760","5760","5770","-12","-2","122","7041440.00","14146"
"5","y1601","20160108","5760.00","5770.00","5800","5800","5770","5770","5774","0","4","136","7853240.00","14002"
"6","y1601","20160111","5770.00","5774.00","5602","5770","5600","5736","5706","-38","-68","4684","267280240.00","13938"
"7","y1601","20160112","5736.00","5706.00","5686","5686","5678","5678","5678","-28","-28","146","8291800.00","13914"
"8","y1601","20160113","5678.00","5678.00","0","0","0","5678","5678","0","0","0","0.00","13402"
"9","y1601","20160114","5678.00","5678.00","5670","5670","5666","5666","5668","-12","-10","6","340080.00","13396"
"10","y1601","20160115","5666.00","5668.00","5752","5752","5748","5748","5736","80","68","12","689920.00","0"
"11","y1603","20160104","5698.00","5698.00","0","0","0","5698","5698","0","0","0","0.00","12"
"12","y1603","20160105","5698.00","5698.00","0","0","0","5698","5698","0","0","0","0.00","12"
"13","y1603","20160106","5698.00","5698.00","5646","5646","5646","5646","5646","-52","-52","2","112920.00","12"
"14","y1603","20160107","5646.00","5646.00","0","0","0","5646","5646","0","0","0","0.00","12"
"15","y1603","20160108","5646.00","5646.00","0","0","0","5646","5646","0","0","0","0.00","12"
"16","y1603","20160111","5646.00","5646.00","0","0","0","5638","5638","-8","-8","0","0.00","12"
"17","y1603","20160112","5638.00","5638.00","0","0","0","5590","5590","-48","-48","0","0.00","12"
"18","y1603","20160113","5590.00","5590.00","0","0","0","5590","5590","0","0","0","0.00","12"
"19","y1603","20160114","5590.00","5590.00","0","0","0","5584","5584","-6","-6","0","0.00","12"
"20","y1603","20160115","5584.00","5584.00","5564","5564","5446","5446","5504","-138","-80","4","220200.00","12"
"21","y1603","20160118","5446.00","5504.00","0","0","0","5504","5504","0","0","0","0.00","12"
"22","y1603","20160119","5504.00","5504.00","0","0","0","5504","5504","0","0","0","0.00","12"
"23","y1603","20160120","5504.00","5504.00","5556","5556","5556","5556","5556","52","52","2","111120.00","12"
"24","y1603","20160121","5556.00","5556.00","0","0","0","5556","5556","0","0","0","0.00","12"
"25","y1603","20160122","5556.00","5556.00","0","0","0","5556","5556","0","0","0","0.00","12"
"26","y1603","20160125","5556.00","5556.00","0","0","0","5556","5556","0","0","0","0.00","12"
"27","y1603","20160126","5556.00","5556.00","0","0","0","5556","5556","0","0","0","0.00","12"
"28","y1603","20160127","5556.00","5556.00","0","0","0","5556","5556","0","0","0","0.00","12"
"29","y1603","20160128","5556.00","5556.00","0","0","0","5556","5556","0","0","0","0.00","12"
"30","y1603","20160129","5556.00","5556.00","0","0","0","5556","5556","0","0","0","0.00","12"
"31","y1603","20160201","5556.00","5556.00","0","0","0","5556","5556","0","0","0","0.00","12"
"32","y1603","20160202","5556.00","5556.00","5380","5664","5376","5508","5438","-48","-118","754","41015200.00","18"
"33","y1603","20160203","5508.00","5438.00","0","0","0","5460","5460","22","22","0","0.00","18"
"34","y1603","20160204","5460.00","5460.00","5676","5678","5338","5524","5562","64","102","40","2224880.00","20"
"35","y1603","20160205","5524.00","5562.00","0","0","0","5562","5562","0","0","0","0.00","20"
"36","y1603","20160215","5562.00","5562.00","0","0","0","5562","5562","0","0","0","0.00","20"
"37","y1603","20160216","5562.00","5562.00","0","0","0","5562","5562","0","0","0","0.00","20"
"38","y1603","20160217","5562.00","5562.00","0","0","0","5562","5562","0","0","0","0.00","20"
"39","y1603","20160218","5562.00","5562.00","0","0","0","5562","5562","0","0","0","0.00","20"
"40","y1603","20160219","5562.00","5562.00","5562","5562","5562","5562","5562","0","0","10","556200.00","10"
"41","y1603","20160222","5562.00","5562.00","0","0","0","5562","5562","0","0","0","0.00","10"
"42","y1603","20160223","5562.00","5562.00","5580","5582","5580","5582","5580","20","18","4","223240.00","6"
"43","y1603","20160224","5582.00","5580.00","5578","5580","5578","5580","5578","0","-2","4","223160.00","2"
"44","y1603","20160225","5580.00","5578.00","5580","5580","5580","5580","5580","2","2","2","111600.00","0"
